Frog_ID,Male_Color,Female_Color,Approaches,Association_Time,Population
RA-1,B,B,3,170,RA
RA-2,B,B,4,105,RA
RA-3,B,B,0,0,RA
RA-4,B,B,2,209,RA
RA-5,B,B,3,323,RA
RA-6,B,B,2,17,RA
RA-7,B,B,1,11,RA
RA-8,B,B,4,82,RA
RA-9,B,B,5,556,RA
RA-10,B,B,2,10,RA
RA-11,B,B,2,66,RA
RA-12,B,B,2,986,RA
RA-13,B,B,2,277,RA
RA-14,B,B,1,35,RA
RA-15,B,B,4,180,RA
RA-16,B,B,3,348,RA
RA-17,B,B,4,285,RA
RA-18,B,B,0,0,RA
RA-19,B,B,4,106,RA
RA-20,B,B,4,146,RA
RA-21,B,B,1,8,RA
RA-22,B,B,1,12,RA
RA-23,B,B,1,370,RA
RA-24,B,B,2,45,RA
RA-25,B,B,1,18,RA
RA-26,B,B,1,45,RA
RA-27,B,B,2,803,RA
RA-28,B,B,1,365,RA
RA-29,B,B,2,938,RA
RA-1,R,B,1,4,RA
RA-2,R,B,6,108,RA
RA-3,R,B,2,395,RA
RA-4,R,B,1,4,RA
RA-5,R,B,0,0,RA
RA-6,R,B,2,65,RA
RA-7,R,B,2,802,RA
RA-8,R,B,1,9,RA
RA-9,R,B,2,17,RA
RA-10,R,B,1,79,RA
RA-11,R,B,1,207,RA
RA-12,R,B,0,0,RA
RA-13,R,B,1,2,RA
RA-14,R,B,0,0,RA
RA-15,R,B,1,5,RA
RA-16,R,B,1,11,RA
RA-17,R,B,1,2,RA
RA-18,R,B,1,32,RA
RA-19,R,B,1,5,RA
RA-20,R,B,2,54,RA
RA-21,R,B,0,0,RA
RA-22,R,B,1,10,RA
RA-23,R,B,2,42,RA
RA-24,R,B,0,0,RA
RA-25,R,B,1,10,RA
RA-26,R,B,2,31,RA
RA-27,R,B,1,3,RA
RA-28,R,B,1,3,RA
RA-29,R,B,1,13,RA
RA-1,I,B,5,330,RA
RA-2,I,B,5,60,RA
RA-3,I,B,1,3,RA
RA-4,I,B,0,0,RA
RA-5,I,B,1,11,RA
RA-6,I,B,2,142,RA
RA-7,I,B,1,101,RA
RA-8,I,B,1,4,RA
RA-9,I,B,2,147,RA
RA-10,I,B,0,0,RA
RA-11,I,B,0,0,RA
RA-12,I,B,1,102,RA
RA-13,I,B,1,5,RA
RA-14,I,B,1,0,RA
RA-15,I,B,1,132,RA
RA-16,I,B,1,3,RA
RA-17,I,B,3,43,RA
RA-18,I,B,2,28,RA
RA-19,I,B,0,0,RA
RA-20,I,B,2,15,RA
RA-21,I,B,2,55,RA
RA-22,I,B,1,13,RA
RA-23,I,B,0,0,RA
RA-24,I,B,1,63,RA
RA-25,I,B,1,2,RA
RA-26,I,B,1,18,RA
RA-27,I,B,0,0,RA
RA-28,I,B,0,0,RA
RA-29,I,B,1,3,RA
AM-1,B,R,0,0,AL
AM-2,B,R,0,0,AL
AM-3,B,R,0,0,AL
AM-4,B,R,2,31,AL
AM-5,B,R,0,0,AL
AM-6,B,R,1,35,AL
AM-7,B,R,0,0,AL
AM-8,B,R,1,51,AL
AM-9,B,R,1,20,AL
AM-10,B,R,0,0,AL
AM-11,B,R,2,145,AL
AM-12,B,R,0,0,AL
AM-13,B,R,1,19,AL
AM-14,B,R,1,5,AL
AM-15,B,R,1,13,AL
AM-16,B,R,1,3,AL
AM-17,B,R,0,0,AL
AM-18,B,R,0,0,AL
AM-19,B,R,1,25,AL
AM-20,B,R,1,10,AL
AM-21,B,R,2,34,AL
AM-22,B,R,2,132,AL
AM-23,B,R,1,5,AL
AM-24,B,R,1,29,AL
AM-25,B,R,0,13,AL
AM-26,B,R,1,18,AL
AM-27,B,R,1,11,AL
AM-28,B,R,1,6,AL
AM-29,B,R,0,0,AL
AM-30,B,R,1,142,AL
AM-1,R,R,1,28,AL
AM-2,R,R,0,0,AL
AM-3,R,R,2,129,AL
AM-4,R,R,4,617,AL
AM-5,R,R,3,453,AL
AM-6,R,R,1,66,AL
AM-7,R,R,4,626,AL
AM-8,R,R,2,194,AL
AM-9,R,R,1,36,AL
AM-10,R,R,2,448,AL
AM-11,R,R,1,101,AL
AM-12,R,R,2,263,AL
AM-13,R,R,1,157,AL
AM-14,R,R,4,655,AL
AM-15,R,R,3,287,AL
AM-16,R,R,1,103,AL
AM-17,R,R,2,965,AL
AM-18,R,R,1,112,AL
AM-19,R,R,0,0,AL
AM-20,R,R,2,473,AL
AM-21,R,R,1,52,AL
AM-22,R,R,1,98,AL
AM-23,R,R,5,386,AL
AM-24,R,R,1,56,AL
AM-25,R,R,2,208,AL
AM-26,R,R,2,63,AL
AM-27,R,R,3,334,AL
AM-28,R,R,4,858,AL
AM-29,R,R,2,770,AL
AM-30,R,R,4,685,AL
AM-1,I,R,1,900,AL
AM-2,I,R,2,606,AL
AM-3,I,R,1,8,AL
AM-4,I,R,2,63,AL
AM-5,I,R,1,16,AL
AM-6,I,R,0,0,AL
AM-7,I,R,2,193,AL
AM-8,I,R,1,3,AL
AM-9,I,R,0,0,AL
AM-10,I,R,3,505,AL
AM-11,I,R,1,10,AL
AM-12,I,R,1,24,AL
AM-13,I,R,1,28,AL
AM-14,I,R,0,0,AL
AM-15,I,R,1,16,AL
AM-16,I,R,1,17,AL
AM-17,I,R,1,4,AL
AM-18,I,R,1,9,AL
AM-19,I,R,6,521,AL
AM-20,I,R,1,13,AL
AM-21,I,R,1,45,AL
AM-22,I,R,1,105,AL
AM-23,I,R,0,0,AL
AM-24,I,R,1,42,AL
AM-25,I,R,1,25,AL
AM-26,I,R,1,102,AL
AM-27,I,R,2,89,AL
AM-28,I,R,1,19,AL
AM-29,I,R,1,8,AL
AM-30,I,R,1,9,AL
