ID,site,viewshed,vrm,slope,fence_dist
1,occupied,107.5998,0.021685282,17.76176834,552.806
2,occupied,311.0184,3.37e-5,5.266526699,2826.03
3,occupied,83.2524,2.18709e-4,3.86768055,4428.81
4,occupied,2408.0364,6.93427e-4,9.1453619,170.637
5,occupied,68.3298,0.01609548,5.688851833,447.548
6,occupied,41.6262,3.66741e-4,25.85485268,817.812
7,occupied,0,9.57277e-4,1.100744605,9222.71
8,occupied,0,0.01040554,16.14095116,360.979
9,occupied,775.1898,1.05328e-4,0.779905796,3331.15
10,occupied,107.5998,0.021685282,17.76176834,552.806
11,occupied,995.8872,3.68e-5,4.292678833,308.688
12,occupied,295.3104,6.77e-5,1.860299468,6667.04
13,occupied,80.1108,0.006811884,27.92126274,6363.75
14,occupied,56.5488,0.006991386,4.051700115,7528.05
15,occupied,149.226,9.22839e-4,10.49325371,106.922
16,occupied,1435.7112,1.58416e-4,0.923967421,2357.69
17,occupied,83.2524,5.69e-5,1.757454634,2545.59
18,occupied,3.927,3.82423e-4,18.66130829,6872.56
19,occupied,107.5998,6.06749e-4,5.250098228,1717.96
20,occupied,202.6332,0.00103728,16.52522278,593.641
21,occupied,1141.9716,1.65621e-4,9.06440258,172.09
22,occupied,3817.8294,0.013198429,11.44669724,164.841
23,occupied,5114.5248,1.67e-5,4.210876465,3065.97
24,occupied,65.9736,0.007065137,9.2149086,4171.4
25,occupied,4102.9296,0.031033834,16.86044502,6374.92
26,occupied,7.854,0.003418499,9.088694572,3881.48
27,occupied,250.5426,2.77837e-4,5.539242744,5285.68
28,occupied,239.547,0.003162384,14.80863094,1416.14
29,occupied,231.693,0.001063029,28.84518051,965.367
30,occupied,29.8452,0.002030796,24.96556854,290.571
31,occupied,28.2744,0.002201928,23.92806816,195.977
32,occupied,1133.3322,0.012039397,1.235826731,130.504
33,occupied,262.3236,1.09567e-4,2.880316257,2559.88
34,occupied,10.9956,5.73e-5,2.288075924,2573.34
35,occupied,227.766,5.56e-5,3.112209558,3462.77
36,occupied,8.6394,0.00335492,20.35301781,720.701
37,occupied,288.2418,0.014984025,2.59732461,2997.68
38,occupied,1384.6602,0.003887388,20.70730972,1600.74
39,occupied,106.029,4.26928e-4,3.363670588,9699.74
40,unoccupied,347.1468,0.022504278,4.807731628,4985.15
41,unoccupied,928.3428,3.72145e-4,15.19312668,966.676
42,unoccupied,640.8864,2.6989e-4,10.44838715,5669.65
43,unoccupied,159.4362,2.31425e-4,2.206966877,780.611
44,unoccupied,132.7326,5.9753e-4,2.777273655,3070.57
45,unoccupied,5095.6752,5.49104e-4,7.170654774,564.435
46,unoccupied,1518.9636,2.92e-5,7.875775337,4175.29
47,unoccupied,2323.2132,2.96805e-4,4.632085323,330.388
48,unoccupied,1848.0462,3.21e-5,7.765317917,1771
49,unoccupied,134.3034,2.27e-5,3.738880873,7992.02
50,unoccupied,2446.521,0.003130171,12.65677166,8799.08
51,unoccupied,139.8012,2.65863e-4,6.72533226,8349.34
52,unoccupied,88.7502,0.001210001,4.957013607,9227.15
53,unoccupied,534.8574,2.13e-5,8.563998222,12196.7
54,unoccupied,739.0614,0.001798418,9.792348862,2668.92
55,unoccupied,3424.344,0.002884547,12.49593544,1134.43
56,unoccupied,3593.205,3.06e-5,5.710845947,5257.39
57,unoccupied,338.5074,4.33e-5,0.63405776,5503.09
58,unoccupied,9.4248,7.81695e-4,6.105108261,161.817
59,unoccupied,15.708,3.18845e-4,14.63248062,2783.38
60,unoccupied,7203.6888,1.16242e-4,0.292503327,1962.87
61,unoccupied,8.6394,4.16014e-4,19.732481,11616.2
62,unoccupied,4273.3614,2.26657e-4,7.862104416,4974.82
63,unoccupied,2465.3706,2.97017e-4,12.33280373,2228.49
64,unoccupied,316.5162,6.7e-5,7.258747101,7883
65,unoccupied,135.0888,2.96e-5,4.029206276,8181.25
66,unoccupied,7422.03,5.96e-5,3.029640913,3933.61
67,unoccupied,1412.9346,5.45184e-4,22.00944328,946.992
68,unoccupied,194.7792,2.19e-5,4.071932316,6121.13
69,unoccupied,6450.4902,7.22e-5,10.32761955,1890.18
70,unoccupied,1515.822,0.003072633,13.86336517,2144.27
71,unoccupied,46.3386,5.47e-5,1.247280836,822.081
72,unoccupied,988.0332,8.42e-5,11.3843708,1388.88
73,unoccupied,3128.2482,8.22173e-4,7.193327904,4704.74
74,unoccupied,6018.5202,2.04616e-4,9.516031265,5464.65
75,unoccupied,820.743,4.32756e-4,9.032662392,1506.13
76,unoccupied,293.7396,1.78867e-4,4.420127869,9712.42
77,unoccupied,1195.3788,2.91e-5,2.705585241,5148.65
78,unoccupied,19.635,9.24e-5,2.955589771,7868.39
79,unoccupied,4326.7686,7.37084e-4,0.901066363,9936.83
80,unoccupied,2867.4954,0.001556185,18.86423874,429.796
81,unoccupied,46.3386,0.002015856,3.136945248,268.523
82,unoccupied,4998.2856,3.06023e-4,12.40509129,6651.73
83,unoccupied,395.8416,0.00603856,2.609260321,7668.99
84,unoccupied,92.6772,8.71e-5,1.77520144,4538.35
85,unoccupied,1775.7894,1.15924e-4,3.133365631,833.709
86,unoccupied,868.6524,2.86e-6,4.486653805,4282.78
87,unoccupied,1783.6434,8.32e-5,3.047207117,3835.01
88,unoccupied,3700.0194,3.47243e-4,10.44935131,3270.16
89,unoccupied,2854.1436,5.7941e-4,6.223967075,676.851
90,unoccupied,4967.655,1.08189e-4,10.46208382,1101.57
91,unoccupied,6782.7144,1.76e-5,7.589131355,2671.88
92,unoccupied,1400.3682,5.72e-6,4.993812561,5208.15
93,unoccupied,159.4362,9.92245e-4,9.349523544,1410.86
94,unoccupied,107.5998,2.67877e-4,1.532255054,4820.62
95,unoccupied,108.3852,3.56e-5,6.505408287,7271.41
96,unoccupied,3478.5366,0.001032511,11.88927841,1865.96
97,unoccupied,384.0606,1.85331e-4,9.336558342,4127.86
98,unoccupied,563.1318,3.28e-5,5.78938818,2896.27
