FY 05/06,FY 06/07,FY 07/08,FY 08/09,FY 09/10,FY 10/11,FY 11/12,FY 12/13,Location 1
32,36,34,32,27,26,36,16,"91342
(34.30514302800049, -118.43521825999971)"
18,19,17,14,13,13,13,12,"91309
(34.21867307400049, -118.59758676999968)"
62,66,58,65,55,52,44,36,"91302
(34.14327419400047, -118.6628270279997)"
31,35,32,31,26,26,27,24,"90272
(34.04886156900045, -118.53572692799969)"
47,52,50,49,41,41,44,26,"91316
(34.16673287800046, -118.5162960619997)"
23,26,24,23,17,16,18,18,"91214
(34.228570997000475, -118.2469491709997)"
98,99,93,90,84,82,82,37,"90020
(34.06636325100044, -118.30164844599972)"
28,27,26,25,20,21,23,10,"90248
(33.87544370900048, -118.28237834699968)"
117,119,107,106,101,102,101,8,"90012
(34.059480762000476, -118.24204800599972)"
16,17,16,15,15,14,14,10,"90062
(34.00387338200045, -118.30885680999972)"
28,31,29,27,22,21,23,20,"91344
(34.274801855000476, -118.50113633899969)"
48,56,53,51,41,40,43,45,"90210
(34.08553341500044, -118.4042687859997)"
24,24,23,23,21,20,21,11,"90011
(34.00790120200048, -118.25903697699971)"
37,40,37,35,30,30,31,22,"91324
(34.23552300500046, -118.54598982999971)"
26,28,25,24,19,19,20,16,"91040
(34.25970296100047, -118.3244988299997)"
19,19,18,17,17,16,16,10,"90044
(33.95386236800044, -118.2919460489997)"
44,41,38,37,34,35,37,13,"90293
(33.95744265300044, -118.43916786999972)"
25,27,25,24,21,20,21,14,"91335
(34.200180731000444, -118.54031959799971)"
62,61,60,59,55,54,55,10,"90028
(34.10072355400047, -118.32821815499972)"
31,34,32,30,26,26,27,20,"91423
(34.15306349100047, -118.43295885699968)"
20,21,19,18,17,17,17,9,"90042
(34.11332407100048, -118.19142869099971)"
16,17,15,15,14,14,14,9,"90291
(33.99258071300045, -118.4663762939997)"
29,31,29,28,24,24,25,16,"91401
(34.181153951000454, -118.4348272089997)"
21,21,20,19,18,18,17,12,"90717
(33.79380105600046, -118.3173599859997)"
28,30,27,27,25,25,25,11,"90037
(34.00349102100046, -118.28709702299972)"
32,34,31,29,26,26,27,18,"91607
(34.16615064800044, -118.39933720499971)"
15,16,15,14,13,13,13,9,"90043
(33.98673233600044, -118.33290641599967)"
32,36,32,30,25,25,26,22,"91364
(34.16201420300047, -118.59846880599969)"
18,19,18,17,15,15,15,11,"90041
(34.13538366300048, -118.20684911499967)"
48,48,47,47,47,48,48,10,"90015
(34.04012376300045, -118.26498963499972)"
37,38,38,36,32,31,31,6,"90232
(34.019702237000445, -118.39595678999967)"
23,24,23,22,20,19,20,10,"90008
(34.01097312100046, -118.34158773599972)"
29,33,30,28,25,25,26,17,"90068
(34.115253253000446, -118.33141607799968)"
13,14,13,13,12,11,11,9,"90047
(33.95687345800047, -118.3090784049997)"
41,42,41,39,35,33,33,11,"90025
(34.04518134900047, -118.45025632399972)"
25,26,26,25,20,19,20,13,"91505
(34.16767140000047, -118.34449888999967)"
23,24,22,22,19,19,20,20,"90402
(34.03254172900046, -118.50584632399972)"
41,42,39,38,35,34,34,18,"90004
(34.07572239300049, -118.30301712299968)"
20,21,19,18,17,16,17,11,"90002
(33.94895251300045, -118.24697958699971)"
25,27,25,24,21,21,22,15,"91331
(34.257261068000446, -118.41981955999972)"
31,35,32,31,26,26,27,20,"91403
(34.15359358100045, -118.4596676059997)"
19,22,20,18,17,16,17,12,"90056
(33.98651074000048, -118.36959998699967)"
20,21,20,18,16,15,16,12,"91042
(34.25460192400044, -118.2872577869997)"
24,25,24,22,19,19,20,15,"91306
(34.208401481000465, -118.5759399529997)"
19,19,18,18,16,16,16,10,"90032
(34.08151428500048, -118.17678602299969)"
22,22,22,20,19,17,17,11,"90059
(33.927010235000466, -118.24839605799968)"
42,47,44,41,35,34,36,24,"91325
(34.23588364000045, -118.5210581879997)"
27,30,27,25,21,20,23,15,"91345
(34.262123129000486, -118.46175755399969)"
6,7,7,6,7,6,7,7,"90405
(34.01013019000044, -118.4726765529997)"
42,43,40,39,35,34,34,10,"90038
(34.08898335000049, -118.32483774099973)"
27,29,27,26,24,24,24,13,"91601
(34.167132618000494, -118.37252852099971)"
79,79,81,87,86,90,88,9,"90094
(33.972932598000455, -118.42532902799968)"
36,40,37,35,31,31,32,21,"91602
(34.15134286900047, -118.3690785869997)"
19,20,19,18,17,16,17,10,"90039
(34.111603448000494, -118.2612572749997)"
24,26,25,23,18,18,20,18,"91307
(34.197812702000476, -118.63800835599972)"
39,44,42,39,32,32,34,32,"91436
(34.15384124700046, -118.4873366009997)"
25,26,24,23,19,19,19,14,"91340
(34.286190115000466, -118.43744724799967)"
33,35,33,31,27,26,27,17,"91343
(34.235514315000444, -118.4752661759997)"
33,34,31,31,29,28,29,14,"90048
(34.07316318500045, -118.37406665299972)"
33,35,33,32,27,29,29,12,"90045
(33.961522614000444, -118.39344972199967)"
160,164,175,176,164,157,154,11,"90017
(34.05230281300044, -118.26338632799968)"
138,138,129,128,119,120,119,9,"90010
(34.06139256500046, -118.30969974099969)"
25,27,25,24,21,21,22,14,"90064
(34.035413777000485, -118.4321767559997)"
39,43,41,38,32,32,35,24,"91367
(34.178642539000464, -118.60957898599969)"
53,55,45,43,37,35,35,14,"91406
(34.199811405000446, -118.48688906499967)"
17,17,16,15,14,14,14,9,"90065
(34.10881395500047, -118.22766603799971)"
24,24,23,22,22,20,19,9,"90026
(34.07687382000046, -118.26535895999967)"
12,15,12,11,10,9,9,9,"90275
(33.76310359300044, -118.3666584179997)"
39,42,41,39,34,33,34,14,"91504
(34.198251548000485, -118.33049928199972)"
19,20,19,18,16,16,16,9,"90230
(33.99506171100046, -118.39500957899969)"
40,42,40,39,36,35,36,25,"90069
(34.08940047000044, -118.3797890249997)"
37,51,56,55,50,26,42,70,"90212
(34.063843148000444, -118.40025834499971)"
25,26,24,23,22,21,22,12,"90019
(34.04884418900048, -118.33610868499972)"
47,47,45,44,42,41,41,11,"90006
(34.05010424100044, -118.2926890439997)"
14,15,14,12,11,11,12,12,"90305
(33.95809005900048, -118.32920881499967)"
39,41,39,37,34,33,33,14,"91402
(34.22575108800049, -118.4489267519997)"
36,37,34,33,33,32,32,10,"90033
(34.04856176400045, -118.2115199969997)"
26,26,25,24,22,22,22,14,"90035
(34.05421027100044, -118.38387767499972)"
102,103,95,95,91,90,91,9,"90057
(34.06211383600049, -118.27713826999968)"
31,29,35,34,24,22,23,10,"90731
(33.73272331400045, -118.29229799399968)"
42,42,40,39,36,35,35,10,"90029
(34.08989145600049, -118.29490934299969)"
20,21,19,18,15,14,15,10,"90001
(33.973271508000494, -118.24896959899968)"
26,27,26,25,24,23,24,11,"90710
(33.79480040800047, -118.2987286019997)"
38,42,39,37,30,30,32,23,"91311
(34.25282047300044, -118.5950275619997)"
21,20,19,19,18,17,17,10,"90003
(33.96335186100049, -118.27393599999971)"
30,29,25,25,26,25,25,11,"90061
(33.92303021000049, -118.27377957999971)"
32,36,33,31,25,25,27,21,"91326
(34.27493220500048, -118.55013931099973)"
38,39,37,36,32,31,32,14,"91405
(34.20047184600048, -118.4486964669997)"
46,50,44,44,41,50,41,12,"90007
(34.02833141800045, -118.28507659499968)"
59,59,58,58,54,55,57,5,"90013
(34.04726260700045, -118.24609754999972)"
70,79,84,83,73,74,66,11,"90744
(33.78372064300049, -118.26266940199969)"
56,54,48,48,43,45,46,21,"90021
(34.03012156000045, -118.24177861599969)"
20,21,19,18,17,16,17,11,"90066
(34.002152760000456, -118.4290396619997)"
35,38,36,35,31,31,32,14,"91303
(34.19807340300048, -118.59909883299969)"
45,52,48,46,38,39,39,36,"90077
(34.10409093400045, -118.45101669999968)"
49,53,48,47,39,40,41,17,"90027
(34.10546395500046, -118.2923675139997)"
30,31,30,28,26,26,26,12,"90034
(34.02829231300046, -118.40269589399969)"
49,55,51,48,40,40,42,33,"91356
(34.16990038700044, -118.5404890529997)"
23,23,22,21,19,19,19,10,"90018
(34.03077331100047, -118.31686899999971)"
39,42,41,40,32,31,35,15,"91352
(34.22551211300049, -118.37651723499971)"
33,33,30,29,27,27,28,10,"90023
(34.02418193800048, -118.20195663999971)"
25,25,23,22,20,20,20,11,"90247
(33.89189390000047, -118.29849831699971)"
26,28,25,24,21,21,22,12,"90732
(33.73946241700048, -118.31340603099972)"
76,76,74,72,63,67,68,28,"90024
(34.06136215000049, -118.4402367409997)"
34,35,35,35,33,32,33,9,"90292
(33.98163129900047, -118.4511079449997)"
74,74,67,65,63,63,63,25,"90005
(34.05907233200048, -118.30301712299968)"
27,29,26,25,23,23,23,9,"90031
(34.07752122500045, -118.2131059239997)"
32,33,32,30,27,27,27,19,"90046
(34.097151960000474, -118.35826821299969)"
42,42,34,33,30,27,26,10,"90058
(34.00184426500044, -118.22112680399971)"
30,31,29,27,24,23,24,14,"91606
(34.18673293900048, -118.3868062089997)"
34,36,34,32,29,29,29,21,"91604
(34.14446038000045, -118.3942796179997)"
35,38,36,34,28,28,29,20,"91304
(34.22192313800048, -118.60967892099967)"
42,46,43,41,36,35,36,30,"90049
(34.06172278600047, -118.4722594319997)"
18,19,17,17,15,15,16,9,"90063
(34.044881544000475, -118.18593660399972)"
21,22,20,19,18,18,18,10,"90016
(34.02888323300044, -118.35308896599969)"
27,28,26,25,24,23,23,11,"90501
(33.82909119100049, -118.3142098569997)"
29,31,28,27,23,23,24,14,"91605
(34.20546425700047, -118.40193986299971)"
31,33,31,29,27,26,28,15,"91411
(34.17933339400048, -118.45792960399967)"
37,39,36,35,32,33,34,16,"90036
(34.06889204400045, -118.35077742299967)"
