Sort,Year,State,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Primary_Secondary_Syphilis_Count,Primary_Secondary_Syphilis_Rate,Primary_Secondary_Syphilis_RankByCount,Primary_Secondary_Syphilis_RankByRate
16,2005,Kansas,7419,271.2,33,34,2605,95.2,31,23,19,0.7,34,41
17,2005,Kentucky,8351,201.4,32,44,2935,70.8,28,31,52,1.3,27,31
18,2005,Louisiana,17227,381.5,22,12,9572,212,11,2,278,6.2,8,2
19,2005,Maine,2254,171.1,46,47,142,10.8,46,48,1,0.1,43,49
20,2005,Maryland,18291,329.1,21,23,7035,126.6,19,15,313,5.6,7,3
21,2005,Massachusetts,14411,224.6,25,42,2537,39.5,32,42,125,1.9,19,19
22,2005,Michigan,38730,383,7,10,17684,174.9,7,8,105,1,21,35
23,2005,Minnesota,12189,239,27,40,3482,68.3,26,33,70,1.4,23,29
24,2005,Mississippi,21268,732.6,14,1,7171,247,18,1,49,1.7,28,23
25,2005,Missouri,22371,388.7,13,9,9455,164.3,12,9,147,2.6,16,15
26,2005,Montana,2400,258.9,45,36,158,17,45,46,7,0.8,39,39
27,2005,Nebraska,5098,291.8,37,33,1158,66.3,36,34,4,0.2,40,45
28,2005,Nevada,7321,313.6,35,27,2880,123.4,29,16,109,4.7,20,4
29,2005,New Hampshire,1842,141.7,47,50,177,13.6,44,47,16,1.2,35,33
30,2005,New Jersey,19152,220.2,18,43,5722,65.8,21,35,133,1.5,18,26
31,2005,New Mexico,8456,444.3,31,3,1552,81.5,35,28,56,2.9,26,14
32,2005,New York,63966,332.7,3,22,17717,92.1,6,24,705,3.7,4,11
33,2005,North Carolina,31183,365.1,10,18,15072,176.5,9,7,274,3.2,9,12
34,2005,North Dakota,1667,262.8,48,35,128,20.2,47,44,1,0.2,43,48
35,2005,Ohio,43806,382.3,5,11,20985,183.1,3,5,211,1.8,11,22
36,2005,Oklahoma,13407,380.5,26,13,5228,148.4,22,12,44,1.2,30,32
37,2005,Oregon,9018,250.9,29,37,1562,43.5,34,39,41,1.1,31,34
38,2005,Pennsylvania,37261,300.3,8,31,11222,90.5,10,26,199,1.6,12,25
39,2005,Rhode Island,3269,302.5,41,30,438,40.5,42,41,24,2.2,32,17
40,2005,South Carolina,18296,435.8,20,4,8561,203.9,15,4,84,2,22,18
41,2005,South Dakota,2701,350.4,44,20,351,45.5,43,38,2,0.3,42,44
42,2005,Tennessee,23084,391.2,11,8,8605,145.8,14,13,217,3.7,10,10
43,2005,Texas,71860,319.5,2,25,26110,116.1,2,18,873,3.9,2,8
44,2005,Utah,4602,192.6,38,46,727,30.4,40,43,10,0.4,37,42
45,2005,Vermont,957,154,50,49,60,9.7,50,49,1,0.2,43,47
46,2005,Virginia,22668,303.9,12,29,8346,111.9,16,19,143,1.9,17,20
47,2005,Washington,18616,300.1,19,32,3739,60.3,25,36,152,2.5,15,16
48,2005,West Virginia,2944,162.2,42,48,770,42.4,39,40,3,0.2,41,46
49,2005,Wisconsin,20461,371.4,16,16,5869,106.5,20,21,41,0.7,31,40
50,2005,Wyoming,1173,231.6,49,41,87,17.2,49,45,0,0,44,
1,2006,Alabama,22915,498.3,15,5,10665,231.9,12,4,319,6.9,8,2
2,2006,Alaska,4525,675.3,39,1,630,94,41,21,11,1.6,41,25
3,2006,Arizona,24090,390.7,12,13,5949,96.5,21,20,203,3.3,13,13
4,2006,Arkansas,8259,293.8,34,32,4306,153.2,24,13,77,2.7,25,17
5,2006,California,135827,372.6,1,16,33740,92.5,1,22,1835,5,1,6
6,2006,Colorado,16313,343.2,24,22,3695,77.7,26,30,69,1.5,28,26
7,2006,Connecticut,10946,312.3,28,29,2610,74.5,30,31,64,1.8,31,23
8,2006,Delaware,3615,423.6,40,7,1485,174,35,8,20,2.3,36,19
9,2006,Florida,48955,270.6,5,39,23976,132.5,3,15,719,4,4,9
10,2006,Georgia,38972,416.2,8,11,19669,210.1,5,5,581,6.2,5,3
11,2006,Hawaii,5548,431.6,36,6,885,68.8,40,32,18,1.4,38,27
12,2006,Idaho,3345,228.1,41,44,206,14,44,46,3,0.2,44,37
13,2006,Illinois,53586,417.6,4,9,20186,157.3,4,11,431,3.4,6,12
14,2006,Indiana,19859,314.5,20,28,8732,138.3,16,14,93,1.5,22,26
15,2006,Iowa,8390,281.3,33,35,1966,65.9,33,34,19,0.6,37,34
16,2006,Kansas,7829,283.2,35,34,2210,80,32,28,27,1,34,30
17,2006,Kentucky,8940,212.5,31,45,3277,77.9,28,29,73,1.7,26,24
18,2006,Louisiana,17885,417.1,22,10,10883,253.8,11,2,342,8,7,1
19,2006,Maine,2306,174.5,46,48,137,10.4,48,49,9,0.7,42,33
20,2006,Maryland,21859,389.2,17,14,7328,130.5,18,16,300,5.3,10,5
21,2006,Massachusetts,15394,239.1,25,42,2429,37.7,31,41,124,1.9,20,22
22,2006,Michigan,36753,364,9,17,15677,155.3,9,12,118,1.2,21,29
23,2006,Minnesota,12935,250.3,27,41,3303,63.9,27,35,47,0.9,32,31
24,2006,Mississippi,19002,652.9,21,2,7511,258.1,17,1,86,3,23,14
25,2006,Missouri,22982,393.3,14,12,10204,174.6,14,7,168,2.9,18,15
26,2006,Montana,2650,280.5,44,36,194,20.5,45,45,1,0.1,45,38
27,2006,Nebraska,5428,307,37,30,1433,81,37,27,7,0.4,43,36
28,2006,Nevada,8398,336.5,32,24,2791,111.8,29,19,137,5.5,19,4
29,2006,New Hampshire,1997,151.9,47,50,180,13.7,46,47,13,1,40,30
30,2006,New Jersey,20194,231.5,18,43,5492,62.9,22,36,173,2,17,21
31,2006,New Mexico,9829,502.9,29,4,1733,88.7,34,25,79,4,24,9
32,2006,New York,68720,355.9,3,20,17459,90.4,7,24,736,3.8,3,10
33,2006,North Carolina,33615,379.6,10,15,17312,195.5,8,6,309,3.5,9,11
34,2006,North Dakota,1820,286.2,48,33,153,24.1,47,43,1,0.2,45,37
35,2006,Ohio,40106,349.4,6,21,19190,167.2,6,9,184,1.6,15,25
36,2006,Oklahoma,12992,363,26,19,4951,138.3,23,14,70,2,27,21
37,2006,Oregon,9577,258.8,30,40,1461,39.5,36,40,29,0.8,33,32
38,2006,Pennsylvania,39487,317.4,7,26,11466,92.2,10,23,264,2.1,11,20
39,2006,Rhode Island,3142,294.3,42,31,508,47.6,42,38,14,1.3,39,28
40,2006,South Carolina,22351,517.2,16,3,10320,238.8,13,3,66,1.5,30,26
41,2006,South Dakota,2633,336.7,45,23,367,46.9,43,39,13,1.7,40,24
42,2006,Tennessee,25320,419.3,11,8,9694,160.5,15,10,249,4.1,12,8
43,2006,Texas,75543,321.4,2,25,30449,129.5,2,17,1064,4.5,2,7
44,2006,Utah,5092,199.7,38,46,888,34.8,39,42,21,0.8,35,32
45,2006,Vermont,1191,190.9,50,47,72,11.5,50,48,3,0.5,44,35
46,2006,Virginia,24087,315.2,13,27,6476,84.7,20,26,190,2.5,14,18
47,2006,Washington,17819,278.6,23,37,4231,66.2,25,33,182,2.8,16,16
48,2006,West Virginia,2910,160,43,49,953,52.4,38,37,11,0.6,41,34
49,2006,Wisconsin,20190,363.4,19,18,6927,124.7,19,18,68,1.2,29,29
50,2006,Wyoming,1422,276.1,49,38,120,23.3,49,44,0,0,46,
1,2007,Alabama,25153,543.5,13,4,10885,235.2,12,3,380,8.2,8,2
2,2007,Alaska,4911,718.5,39,2,579,84.7,41,24,7,1,42,27
3,2007,Arizona,24866,392.3,14,16,5062,79.9,22,28,296,4.7,12,10
4,2007,Arkansas,9954,351.1,29,21,4168,147,24,13,122,4.3,22,12
5,2007,California,141928,388.3,1,17,31294,85.6,2,23,2038,5.6,1,6
6,2007,Colorado,17186,353.5,24,20,3376,69.4,28,30,57,1.2,28,25
7,2007,Connecticut,11454,327,28,27,2327,66.4,31,32,39,1.1,32,26
8,2007,Delaware,3479,402.3,41,14,1293,149.5,36,12,18,2.1,38,20
9,2007,Florida,57575,315.5,4,30,23327,127.8,3,17,913,5,4,8
10,2007,Georgia,42913,449.6,7,7,17835,186.9,6,5,680,7.1,5,3
11,2007,Hawaii,5659,440.9,37,8,659,51.3,40,35,9,0.7,40,30
12,2007,Idaho,3722,248.2,40,41,269,17.9,43,42,1,0.1,45,34
13,2007,Illinois,55470,431.6,5,10,20813,161.9,5,9,464,3.6,7,14
14,2007,Indiana,20712,326.4,20,28,8790,138.5,16,14,54,0.9,30,28
15,2007,Iowa,8643,289.3,34,34,1928,64.5,33,33,21,0.7,36,30
16,2007,Kansas,8180,294.7,35,32,2282,82.2,32,25,28,1,35,27
17,2007,Kentucky,8798,207.4,33,45,3449,81.3,27,26,56,1.3,29,24
18,2007,Louisiana,19362,451,22,6,11137,259.4,11,2,533,12.4,6,1
19,2007,Maine,2541,192.9,46,46,118,9,47,47,9,0.7,40,30
20,2007,Maryland,23150,412,17,13,6768,120.5,18,18,345,6.1,10,4
21,2007,Massachusetts,16145,250.3,25,40,2695,41.8,29,36,155,2.4,18,18
22,2007,Michigan,37353,370.9,9,18,15482,153.7,9,11,123,1.2,21,25
23,2007,Minnesota,13413,258.1,26,39,3459,66.5,26,31,59,1.1,27,26
24,2007,Mississippi,21686,743,18,1,8314,284.8,17,1,133,4.6,20,11
25,2007,Missouri,23308,396.5,16,15,9876,168,14,8,239,4.1,14,13
26,2007,Montana,2748,286.9,44,36,122,12.7,46,44,8,0.8,41,29
27,2007,Nebraska,5132,289.2,38,35,1434,80.8,35,27,4,0.2,44,33
28,2007,Nevada,9514,370.9,31,18,2357,91.9,30,20,111,4.3,23,12
29,2007,New Hampshire,2055,156.2,47,49,138,10.5,45,45,30,2.3,34,19
30,2007,New Jersey,21536,247.9,19,42,6076,70,21,29,227,2.6,16,17
31,2007,New Mexico,9460,480.2,32,5,1796,91.2,34,22,46,2.3,31,19
32,2007,New York,80717,418.3,3,11,17697,91.7,7,21,1068,5.5,3,7
33,2007,North Carolina,30611,337.8,10,25,16666,183.9,8,6,323,3.6,11,14
34,2007,North Dakota,1789,279.7,48,37,116,18.1,48,41,1,0.2,45,33
35,2007,Ohio,47434,413.7,6,12,21066,183.7,4,7,194,1.7,17,22
36,2007,Oklahoma,12529,346.4,27,23,4827,133.4,23,16,65,1.8,26,21
37,2007,Oregon,9849,262.8,30,38,1236,33,37,38,18,0.5,38,31
38,2007,Pennsylvania,42469,341.6,8,24,12706,102.2,10,19,263,2.1,13,20
39,2007,Rhode Island,3177,300.3,42,31,402,38,42,37,36,3.4,33,15
40,2007,South Carolina,26431,599.7,12,3,10326,234.3,13,4,91,2.1,24,20
41,2007,South Dakota,2620,329.1,45,26,261,32.8,44,39,7,0.9,42,28
42,2007,Tennessee,26866,436.4,11,9,9564,155.3,15,10,367,6,9,5
43,2007,Texas,85786,358.9,2,19,32073,134.2,1,15,1160,4.9,2,9
44,2007,Utah,5721,216.3,36,44,821,31,39,40,20,0.8,37,29
45,2007,Vermont,1057,170.1,50,48,64,10.3,50,46,10,1.6,39,23
46,2007,Virginia,24579,318.7,15,29,6269,81.3,20,26,230,3,15,16
47,2007,Washington,18784,290.4,23,33,3653,56.5,25,34,154,2.4,19,18
48,2007,West Virginia,3168,174.8,43,47,930,51.3,38,35,6,0.3,43,32
49,2007,Wisconsin,19555,349.1,21,22,6752,120.5,19,18,66,1.2,25,25
50,2007,Wyoming,1197,228.9,49,43,81,15.5,49,43,4,0.8,44,29
1,2008,Alabama,24760,531.1,16,4,9740,208.9,12,4,449,9.6,8,2
2,2008,Alaska,4861,708.3,39,2,578,84.2,40,24,1,0.1,46,36
3,2008,Arizona,24769,381.1,15,25,3449,53.1,26,35,317,4.9,12,12
4,2008,Arkansas,14136,495.1,28,6,4514,158.1,24,9,206,7.2,20,4
5,2008,California,148798,404.8,1,21,25787,70.2,2,31,2204,6,1,9
6,2008,Colorado,19180,388.3,24,23,3757,76.1,25,29,128,2.6,24,20
7,2008,Connecticut,12519,357.6,29,29,2801,80,29,28,34,1,32,30
8,2008,Delaware,3868,443,41,13,1045,119.7,37,18,16,1.8,39,25
9,2008,Florida,71017,387.5,4,24,23326,127.3,3,17,1044,5.7,4,11
10,2008,Georgia,42629,440.1,8,14,16272,168,8,7,914,9.4,5,3
11,2008,Hawaii,5982,464.4,37,8,610,47.4,39,37,29,2.3,34,22
12,2008,Idaho,4194,275.2,40,42,187,12.3,44,47,7,0.5,44,35
13,2008,Illinois,59169,458.6,5,9,20674,160.2,4,8,554,4.3,7,13
14,2008,Indiana,22154,347.4,20,30,8769,137.5,16,13,140,2.2,23,23
15,2008,Iowa,9372,312.1,33,37,1700,56.6,33,34,16,0.5,39,35
16,2008,Kansas,9208,328.6,35,32,2274,81.2,30,27,30,1.1,33,29
17,2008,Kentucky,12163,284.9,30,40,4548,106.5,23,21,93,2.2,27,23
18,2008,Louisiana,22659,513.7,18,5,9455,214.4,13,2,707,16,6,1
19,2008,Maine,2608,198.1,46,47,96,7.3,49,49,10,0.8,43,32
20,2008,Maryland,24669,437.9,17,15,6666,118.3,19,19,378,6.7,10,5
21,2008,Massachusetts,17503,269.4,25,44,2129,32.8,32,40,216,3.3,18,16
22,2008,Michigan,44923,449.1,7,12,17064,170.6,6,6,210,2.1,19,24
23,2008,Minnesota,14351,274.9,27,43,3037,58.2,28,33,116,2.2,25,23
24,2008,Mississippi,21253,723.2,22,1,7494,255,18,1,184,6.3,21,7
25,2008,Missouri,24817,419.8,14,16,8014,135.6,17,14,224,3.8,17,14
26,2008,Montana,3101,320.5,44,34,122,12.6,47,46,7,0.7,44,33
27,2008,Nebraska,5573,312.5,38,36,1460,81.9,34,26,15,0.8,40,32
28,2008,Nevada,9670,371.9,32,27,2172,83.5,31,25,77,3,29,18
29,2008,New Hampshire,2109,160.3,47,50,100,7.6,48,48,20,1.5,37,27
30,2008,New Jersey,22405,258,19,45,5298,61,21,32,226,2.6,16,20
31,2008,New Mexico,9262,466.8,34,7,1403,70.7,35,30,44,2.2,31,23
32,2008,New York,88359,453.3,3,10,17108,87.8,5,23,1217,6.2,3,8
33,2008,North Carolina,37516,406.8,10,19,15972,173.2,9,5,287,3.1,13,17
34,2008,North Dakota,1921,299.5,48,38,143,22.3,45,44,0,0,47,
35,2008,Ohio,47117,410.2,6,18,16803,146.3,7,10,351,3.1,11,17
36,2008,Oklahoma,14803,406.4,26,20,5185,142.4,22,11,86,2.4,28,21
37,2008,Oregon,10744,283.5,31,41,1225,32.3,36,41,26,0.7,35,33
38,2008,Pennsylvania,42233,339.3,9,31,11071,88.9,10,22,272,2.2,14,23
39,2008,Rhode Island,3317,315.7,42,35,307,29.2,43,42,18,1.7,38,26
40,2008,South Carolina,26323,587.6,13,3,9442,210.8,14,3,98,2.2,26,23
41,2008,South Dakota,2956,367.6,45,28,375,46.6,42,38,1,0.1,46,36
42,2008,Tennessee,28038,451.1,12,11,8780,141.3,15,12,413,6.6,9,6
43,2008,Texas,100870,414.6,2,17,32199,132.4,1,16,1405,5.8,2,10
44,2008,Utah,6021,220,36,46,477,17.4,41,45,25,0.9,36,31
45,2008,Vermont,1190,191.5,50,48,37,6,50,50,11,1.8,42,25
46,2008,Virginia,31218,401.8,11,22,10337,133.1,11,15,266,3.4,15,15
47,2008,Washington,21402,326.8,21,33,3127,47.7,27,36,181,2.8,22,19
48,2008,West Virginia,3316,182.8,43,49,746,41.1,38,39,13,0.7,41,33
49,2008,Wisconsin,20996,373.1,23,26,6087,108.2,20,20,65,1.2,30,28
50,2008,Wyoming,1577,296.1,49,39,124,23.3,46,43,3,0.6,45,34
1,2009,Alabama,25929,550.7,16,5,7498,159.2,15,4,417,8.9,9,4
2,2009,Alaska,5166,739.6,39,2,990,141.7,37,9,0,0,45,
3,2009,Arizona,26002,394.2,15,23,3250,49.3,25,34,231,3.5,18,16
4,2009,Arkansas,14354,496.8,27,7,4460,154.4,23,6,275,9.5,15,3
5,2009,California,146796,397.2,1,22,23228,62.8,2,29,1900,5.1,1,13
6,2009,Colorado,19998,398,24,21,2823,56.2,26,30,105,2.1,25,26
7,2009,Connecticut,12127,344.7,30,31,2558,72.7,27,27,65,1.8,30,28
8,2009,Delaware,4718,533,40,6,971,109.7,38,17,27,3.1,37,18
9,2009,Florida,72931,393.4,4,24,20878,112.6,3,15,1041,5.6,4,11
10,2009,Georgia,39828,405.2,10,20,13687,139.2,9,10,953,9.7,5,2
11,2009,Hawaii,6026,465.3,37,12,631,48.7,39,35,33,2.5,34,23
12,2009,Idaho,3842,248.5,41,45,110,7.1,47,50,3,0.2,44,36
13,2009,Illinois,60542,468.9,5,11,19962,154.6,4,5,750,5.8,6,10
14,2009,Indiana,21732,338.3,21,34,6835,106.4,17,19,158,2.5,22,23
15,2009,Iowa,9406,312.7,35,36,1658,55.1,33,31,23,0.8,38,32
16,2009,Kansas,10510,372.9,32,27,2505,88.9,28,22,32,1.1,35,31
17,2009,Kentucky,13293,308.1,29,37,3827,88.7,24,23,92,2.1,27,26
18,2009,Louisiana,27628,615,13,3,8996,200.3,11,2,741,16.5,7,1
19,2009,Maine,2431,184.4,46,49,143,10.8,45,46,4,0.3,43,35
20,2009,Maryland,23747,416.7,19,18,6395,112.2,19,16,314,5.5,13,12
21,2009,Massachusetts,19315,292.9,25,42,1976,30,31,40,238,3.6,16,15
22,2009,Michigan,45714,458.5,7,13,14704,147.5,7,8,230,2.3,19,25
23,2009,Minnesota,14197,269.6,28,44,2303,43.7,29,36,71,1.3,29,30
24,2009,Mississippi,23589,799.1,20,1,7241,245.3,16,1,237,8,17,5
25,2009,Missouri,25868,432,17,15,6488,108.4,18,18,173,2.9,21,20
26,2009,Montana,2988,306.5,45,38,80,8.2,48,48,4,0.4,43,34
27,2009,Nebraska,5443,303,38,39,1376,76.6,34,26,5,0.3,42,35
28,2009,Nevada,10045,380,33,26,1726,65.3,32,28,91,3.4,28,17
29,2009,New Hampshire,2102,158.7,47,50,113,8.5,46,47,14,1.1,40,31
30,2009,New Jersey,23974,275.3,18,43,4762,54.7,21,32,212,2.4,20,24
31,2009,New Mexico,9493,472.4,34,8,1082,53.8,36,33,61,3,31,19
32,2009,New York,92069,471.1,3,10,17004,87,5,24,1182,6,3,9
33,2009,North Carolina,41045,437.5,9,14,13870,147.9,8,7,579,6.2,8,8
34,2009,North Dakota,1957,302.5,49,40,151,23.3,44,43,4,0.6,43,33
35,2009,Ohio,48239,417.9,6,17,15988,138.5,6,11,360,3.1,11,18
36,2009,Oklahoma,15023,407.5,26,19,4673,126.7,22,12,97,2.6,26,22
37,2009,Oregon,11497,300.5,31,41,1113,29.1,35,41,57,1.5,32,29
38,2009,Pennsylvania,43068,341.7,8,33,10138,80.4,10,25,341,2.7,12,21
39,2009,Rhode Island,3615,343.2,42,32,322,30.6,43,39,20,1.9,39,27
40,2009,South Carolina,26654,584.4,14,4,8318,182.4,12,3,123,2.7,24,21
41,2009,South Dakota,3015,371.1,44,28,344,42.3,41,37,0,0,45,
42,2009,Tennessee,29711,471.9,12,9,7926,125.9,13,13,403,6.4,10,7
43,2009,Texas,105910,427.4,2,16,29295,118.2,1,14,1644,6.6,2,6
44,2009,Utah,6145,220.7,36,46,341,12.2,42,45,31,1.1,36,31
45,2009,Vermont,1186,190.7,50,48,50,8,50,49,0,0,45,
46,2009,Virginia,30903,392,11,25,7789,98.8,14,20,299,3.8,14,14
47,2009,Washington,21387,320.9,22,35,2285,34.3,30,38,139,2.1,23,26
48,2009,West Virginia,3604,198,43,47,475,26.1,40,42,8,0.4,41,34
49,2009,Wisconsin,20906,369.7,23,29,5201,92,20,21,44,0.8,33,32
50,2009,Wyoming,1963,360.7,48,30,74,13.6,49,44,3,0.6,44,33
1,2010,Alabama,27041,574.3,14,6,7933,168.5,13,5,260,5.5,16,10
2,2010,Alaska,6019,861.7,37,1,1273,182.3,34,3,3,0.4,44,46
3,2010,Arizona,26861,407.2,15,21,3249,49.3,25,36,230,3.5,19,20
4,2010,Arkansas,15424,533.8,27,7,4769,165,22,6,205,7.1,21,4
5,2010,California,150443,407,1,22,26441,71.5,2,27,2065,5.6,1,9
6,2010,Colorado,19447,387,25,28,2787,55.5,27,35,138,2.7,27,27
7,2010,Connecticut,12649,359.5,30,33,2569,73,28,26,98,2.8,29,26
8,2010,Delaware,4464,504.3,40,9,1010,114.1,38,16,9,1,41,38
9,2010,Florida,74744,403.2,4,23,20163,108.8,3,18,1184,6.4,3,6
10,2010,Georgia,45147,459.3,9,15,15852,161.3,6,7,795,8.1,6,2
11,2010,Hawaii,6015,464.4,38,13,759,58.6,39,33,35,2.7,36,29
12,2010,Idaho,4208,272.2,41,45,147,9.5,47,48,6,0.4,42,47
13,2010,Illinois,60672,469.9,5,12,15777,122.2,7,13,908,7,5,5
14,2010,Indiana,22825,355.4,21,34,6496,101.1,18,20,175,2.7,22,28
15,2010,Iowa,10542,350.5,33,35,1803,59.9,32,32,19,0.6,39,43
16,2010,Kansas,9601,340.6,35,36,2084,73.9,31,25,19,0.7,39,40
17,2010,Kentucky,16376,379.6,26,29,4345,100.7,24,21,139,3.2,26,22
18,2010,Louisiana,29151,648.9,12,3,8912,198.4,11,2,546,12.2,7,1
19,2010,Maine,2586,196.2,46,49,162,12.3,45,44,32,2.4,37,33
20,2010,Maryland,26192,459.6,17,14,7413,130.1,14,11,328,5.8,11,7
21,2010,Massachusetts,21080,319.7,24,40,2483,37.7,29,39,285,4.3,12,15
22,2010,Michigan,49478,496.3,7,10,13627,136.7,9,10,235,2.4,18,34
23,2010,Minnesota,15294,290.4,28,43,2119,40.2,30,38,149,2.8,25,24
24,2010,Mississippi,21417,725.5,22,2,6195,209.9,19,1,228,7.7,20,3
25,2010,Missouri,26049,435.1,19,19,7159,119.6,16,14,152,2.5,24,31
26,2010,Montana,3082,316.1,45,41,102,10.5,48,47,3,0.3,44,49
27,2010,Nebraska,5114,284.6,39,44,1187,66.1,36,29,12,0.7,40,41
28,2010,Nevada,9666,365.7,34,32,1728,65.4,33,30,130,4.9,28,12
29,2010,New Hampshire,2462,185.9,47,50,151,11.4,46,45,22,1.7,38,37
30,2010,New Jersey,26142,300.2,18,42,5872,67.4,20,28,244,2.8,17,25
31,2010,New Mexico,11706,582.5,32,4,1229,61.2,35,31,53,2.6,33,30
32,2010,New York,99920,511.3,3,8,18320,93.7,4,23,1098,5.6,4,8
33,2010,North Carolina,42048,448.2,10,17,14111,150.4,8,8,396,4.2,9,16
