Sort,Year,State,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Primary_Secondary_Syphilis_Count,Primary_Secondary_Syphilis_Rate,Primary_Secondary_Syphilis_RankByCount,Primary_Secondary_Syphilis_RankByRate
34,2010,North Dakota,2404,371.7,48,31,204,31.5,44,41,3,0.5,44,45
35,2010,Ohio,51150,443.1,6,18,16496,142.9,5,9,528,4.6,8,13
36,2010,Oklahoma,14302,387.9,29,27,4369,118.5,23,15,92,2.5,30,32
37,2010,Oregon,12352,322.9,31,38,1076,28.1,37,42,71,1.9,31,36
38,2010,Pennsylvania,47518,377,8,30,12883,102.2,10,19,369,2.9,10,23
39,2010,Rhode Island,3480,330.4,43,37,291,27.6,43,43,41,3.9,35,18
40,2010,South Carolina,26525,581.5,16,5,7970,174.7,12,4,155,3.4,23,21
41,2010,South Dakota,3192,392.9,44,24,468,57.6,41,34,4,0.5,43,44
42,2010,Tennessee,28327,449.9,13,16,7121,113.1,17,17,277,4.4,14,14
43,2010,Texas,119872,483.7,2,11,31788,128.3,1,12,1230,5,2,11
44,2010,Utah,6690,240.3,36,46,310,11.1,42,46,65,2.3,32,35
45,2010,Vermont,1257,202.2,50,48,58,9.3,49,49,4,0.6,43,42
46,2010,Virginia,30797,390.7,11,25,7402,93.9,15,22,279,3.5,13,19
47,2010,Washington,21348,320.3,23,39,2864,43,26,37,266,4,15,17
48,2010,West Virginia,3876,213,42,47,579,31.8,40,40,6,0.3,42,48
49,2010,Wisconsin,23236,410.9,20,20,5091,90,21,24,49,0.9,34,39
50,2010,Wyoming,2113,388.2,49,26,40,7.3,50,50,0,0,45,
1,2011,Alabama,29626,619.8,14,5,9132,191.1,12,3,228,4.8,18,13
2,2011,Alaska,5739,808,39,1,984,138.5,37,9,5,0.7,46,43
3,2011,Arizona,29251,457.6,15,18,4564,71.4,23,32,274,4.3,15,18
4,2011,Arkansas,16052,550.5,28,9,4687,160.7,22,7,182,6.2,22,8
5,2011,California,166773,447.7,1,21,27516,73.9,2,31,2443,6.6,1,6
6,2011,Colorado,21811,433.7,24,23,2363,47,28,36,133,2.6,27,28
7,2011,Connecticut,13649,381.9,30,33,2449,68.5,27,33,65,1.8,32,34
8,2011,Delaware,4508,502,41,12,827,92.1,38,22,27,3,35,22
9,2011,Florida,76033,404.4,4,28,19689,104.7,4,19,1257,6.7,2,5
10,2011,Georgia,54403,561.6,7,7,16428,169.6,8,6,678,7,6,3
11,2011,Hawaii,6001,441.2,38,22,685,50.4,40,35,14,1,39,38
12,2011,Idaho,4699,299.8,40,44,162,10.3,46,45,13,0.8,41,41
13,2011,Illinois,64939,506.1,5,11,17037,132.8,6,10,881,6.9,5,4
14,2011,Indiana,27801,428.8,18,25,6569,101.3,17,21,173,2.7,23,26
15,2011,Iowa,10705,351.4,33,39,1920,63,33,34,20,0.7,37,44
16,2011,Kansas,10598,371.5,34,34,2209,77.4,31,27,24,0.8,36,40
17,2011,Kentucky,16629,383.2,27,32,4521,104.2,24,20,129,3,28,23
18,2011,Louisiana,31614,697.4,12,3,9169,202.3,11,1,447,9.9,8,1
19,2011,Maine,3094,232.9,46,48,272,20.5,44,44,12,0.9,42,39
20,2011,Maryland,27212,471.3,19,16,6458,111.9,19,16,452,7.8,7,2
21,2011,Massachusetts,22764,347.7,23,40,2353,35.9,29,42,266,4.1,16,19
22,2011,Michigan,49568,501.5,10,13,12901,130.5,10,11,286,2.9,13,25
23,2011,Minnesota,16902,318.7,26,43,2284,43.1,30,37,139,2.6,24,30
24,2011,Mississippi,21216,715,25,2,5814,195.9,20,2,191,6.4,21,7
25,2011,Missouri,27887,465.6,17,17,7802,130.3,14,12,136,2.3,25,32
26,2011,Montana,3406,344.2,45,42,85,8.6,48,48,7,0.7,45,42
27,2011,Nebraska,6780,371.2,37,35,1352,74,36,29,10,0.5,43,45
28,2011,Nevada,10507,389.1,35,31,2000,74.1,32,28,136,5,26,10
29,2011,New Hampshire,3010,228.6,47,50,130,9.9,47,47,18,1.4,38,36
30,2011,New Jersey,26209,298.1,20,45,7348,83.6,16,25,232,2.6,17,29
31,2011,New Mexico,11374,552.4,32,8,1839,89.3,34,23,71,3.4,31,21
32,2011,New York,102763,530.3,3,10,20706,106.9,3,18,1083,5.6,4,9
33,2011,North Carolina,54819,574.9,6,6,17454,183,5,4,431,4.5,10,15
34,2011,North Dakota,2445,363.5,48,37,251,37.3,45,41,1,0.1,48,48
35,2011,Ohio,52653,456.4,9,19,16726,145,7,8,440,3.8,9,20
36,2011,Oklahoma,14596,389.1,29,30,4215,112.4,25,15,84,2.2,30,33
37,2011,Oregon,13643,356.1,31,38,1489,38.9,35,40,97,2.5,29,31
38,2011,Pennsylvania,52884,416.3,8,27,13770,108.4,9,17,373,2.9,11,24
39,2011,Rhode Island,4146,393.9,43,29,360,34.2,42,43,46,4.4,34,17
40,2011,South Carolina,28932,625.5,16,4,8350,180.5,13,5,221,4.8,19,12
41,2011,South Dakota,3409,418.7,44,26,602,73.9,41,30,0,0,49,
42,2011,Tennessee,31105,490.1,13,15,7667,120.8,15,14,278,4.4,14,16
43,2011,Texas,124882,496.6,2,14,30930,123,1,13,1169,4.6,3,14
44,2011,Utah,7086,256.4,36,46,277,10,43,46,14,0.5,40,46
45,2011,Vermont,1483,237,50,47,48,7.7,49,50,9,1.4,44,35
46,2011,Virginia,36314,453.9,11,20,6518,81.5,18,26,213,2.7,20,27
47,2011,Washington,23280,346.2,22,41,2737,40.7,26,39,328,4.9,12,11
48,2011,West Virginia,4295,231.8,42,49,796,43,39,38,4,0.2,47,47
49,2011,Wisconsin,24619,432.9,21,24,4789,84.2,21,24,65,1.1,33,37
50,2011,Wyoming,2092,371.2,49,36,46,8.2,50,49,0,0,50,
1,2012,Alabama,30621,637.6,13,3,9270,193,11,3,216,4.5,20,15
2,2012,Alaska,5462,755.8,39,2,726,100.5,40,19,11,1.5,43,41
3,2012,Arizona,30444,469.6,14,17,5809,89.6,20,24,202,3.1,23,28
4,2012,Arkansas,16611,565.4,29,7,4307,146.6,24,7,173,5.9,24,9
5,2012,California,167695,444.9,1,23,33579,89.1,1,25,2953,7.8,1,2
6,2012,Colorado,21631,422.7,25,28,2822,55.2,28,37,208,4.1,22,21
7,2012,Connecticut,13065,364.9,31,39,2133,59.6,32,34,55,1.5,33,40
8,2012,Delaware,4438,489.2,42,14,899,99.1,37,20,38,4.2,36,17
9,2012,Florida,77644,407.4,4,32,19462,102.1,4,18,1369,7.2,3,5
10,2012,Georgia,52418,534,8,8,15326,156.1,8,5,937,9.5,5,1
11,2012,Hawaii,6340,461.2,38,19,815,59.3,39,35,23,1.7,40,37
12,2012,Idaho,4550,287.1,41,45,167,10.5,46,49,26,1.6,38,38
13,2012,Illinois,67701,526.1,5,9,18149,141,5,10,804,6.2,6,8
14,2012,Indiana,29505,452.7,15,22,7338,112.6,17,17,224,3.4,19,26
15,2012,Iowa,11377,371.5,33,36,2006,65.5,33,33,70,2.3,32,33
16,2012,Kansas,11135,387.8,35,34,2228,77.6,31,31,24,0.8,39,45
17,2012,Kentucky,17273,395.3,27,33,4283,98,25,21,150,3.4,26,27
18,2012,Louisiana,27353,597.9,17,4,8873,194,13,2,339,7.4,11,3
19,2012,Maine,3413,257,46,49,456,34.3,44,44,17,1.3,42,43
20,2012,Maryland,26534,455.3,20,21,5686,97.6,21,22,431,7.4,8,4
21,2012,Massachusetts,23550,357.5,23,41,2628,39.9,29,42,316,4.8,12,14
22,2012,Michigan,47566,481.6,10,15,12584,127.4,10,12,295,3,14,29
23,2012,Minnesota,18056,337.8,26,43,3082,57.7,27,36,118,2.2,27,34
24,2012,Mississippi,23054,774,24,1,6875,230.8,19,1,150,5,26,11
25,2012,Missouri,27835,463.1,16,18,7889,131.2,14,11,157,2.6,25,31
26,2012,Montana,3827,383.4,45,35,108,10.8,48,48,2,0.2,47,50
27,2012,Nebraska,6748,366.2,37,38,1429,77.6,36,32,8,0.4,44,48
28,2012,Nevada,11137,408.9,34,31,2264,83.1,30,29,113,4.1,28,20
29,2012,New Hampshire,3072,233,47,50,147,11.2,47,47,36,2.7,37,30
30,2012,New Jersey,27271,309.2,18,44,7486,84.9,16,28,229,2.6,17,32
31,2012,New Mexico,11898,571.4,32,6,1883,90.4,34,23,101,4.9,29,12
32,2012,New York,100546,516.5,3,11,22571,116,3,16,1224,6.3,4,7
33,2012,North Carolina,50596,524,9,10,14318,148.3,9,6,347,3.6,10,24
34,2012,North Dakota,2908,425.2,48,27,335,49,45,38,4,0.6,46,47
35,2012,Ohio,53141,460.3,7,20,16493,142.9,6,8,425,3.7,9,23
36,2012,Oklahoma,16843,444.2,28,24,4441,117.1,23,15,83,2.2,31,35
37,2012,Oregon,13454,347.5,30,42,1464,37.8,35,43,212,5.5,21,10
38,2012,Pennsylvania,54993,431.6,6,26,15390,120.8,7,14,494,3.9,7,22
39,2012,Rhode Island,4313,410.3,43,30,507,48.2,42,39,44,4.2,34,18
40,2012,South Carolina,27149,580.2,19,5,7638,163.2,15,4,225,4.8,18,13
41,2012,South Dakota,3924,476.2,44,16,707,85.8,41,26,18,2.2,41,36
42,2012,Tennessee,32525,507.9,12,12,9098,142.1,12,9,266,4.2,16,19
43,2012,Texas,127036,494.8,2,13,32473,126.5,2,13,1627,6.3,2,6
44,2012,Utah,7615,270.3,36,47,479,17,43,45,42,1.5,35,42
45,2012,Vermont,1724,275.2,50,46,99,15.8,49,46,6,1,45,44
46,2012,Virginia,34963,431.8,11,25,6885,85,18,27,285,3.5,15,25
47,2012,Washington,24596,360.1,21,40,3238,47.4,26,40,302,4.4,13,16
48,2012,West Virginia,4790,258.2,40,48,831,44.8,38,41,8,0.4,44,49
49,2012,Wisconsin,23726,415.4,22,29,4704,82.4,22,30,91,1.6,30,39
50,2012,Wyoming,2102,370,49,37,44,7.7,50,50,4,0.7,46,46
1,2013,Alabama,29464,611,14,3,8377,173.7,12,2,183,3.8,25,19
2,2013,Alaska,5774,789.4,39,1,1128,154.2,38,4,23,3.1,42,24
3,2013,Arizona,30564,466.4,12,18,6412,97.8,19,25,287,4.4,15,15
4,2013,Arkansas,15447,523.8,29,8,4007,135.9,26,11,177,6,26,10
5,2013,California,167346,439.9,1,23,38166,100.3,1,22,3532,9.3,1,2
6,2013,Colorado,20386,393,24,33,2820,54.4,30,38,163,3.1,27,24
7,2013,Connecticut,12775,355.8,31,40,2860,79.7,29,30,56,1.6,34,31
8,2013,Delaware,5213,568.4,41,6,1390,151.6,36,6,52,5.7,35,11
9,2013,Florida,80182,415.1,4,27,20818,107.8,3,18,1513,7.8,2,4
10,2013,Georgia,51070,514.8,8,9,14252,143.7,7,8,1017,10.3,5,1
11,2013,Hawaii,6640,476.9,38,15,718,51.6,42,39,46,3.3,37,23
12,2013,Idaho,5428,340.2,40,44,211,13.2,47,48,15,0.9,43,32
13,2013,Illinois,63797,495.5,5,12,16464,127.9,6,13,798,6.2,6,9
14,2013,Indiana,28023,428.7,17,24,7144,109.3,16,16,215,3.3,21,23
15,2013,Iowa,10953,356.3,35,39,1472,47.9,35,40,106,3.4,30,22
16,2013,Kansas,11012,381.6,34,35,2161,74.9,32,32,51,1.8,36,29
17,2013,Kentucky,17134,391.2,28,34,4315,98.5,25,23,122,2.8,28,25
18,2013,Louisiana,28739,624.5,15,2,8669,188.4,11,1,423,9.2,11,3
19,2013,Maine,3438,258.7,46,49,245,18.4,45,46,10,0.8,45,33
20,2013,Maryland,26723,454.1,19,20,5989,101.8,20,20,456,7.7,9,5
21,2013,Massachusetts,23210,349.2,23,41,3106,46.7,28,41,360,5.4,13,12
22,2013,Michigan,44835,453.6,10,22,10569,106.9,10,19,487,4.9,7,14
23,2013,Minnesota,18742,348.4,25,42,3873,72,27,34,193,3.6,24,21
24,2013,Mississippi,17464,585.1,27,5,5096,170.7,22,3,78,2.6,32,26
25,2013,Missouri,27328,453.8,18,21,7546,125.3,13,14,251,4.2,19,17
26,2013,Montana,3818,379.8,45,36,224,22.3,46,45,5,0.5,46,34
27,2013,Nebraska,7301,393.5,37,32,1385,74.6,37,33,41,2.2,40,27
28,2013,Nevada,11781,427,33,25,2714,98.4,31,24,205,7.4,23,7
29,2013,New Hampshire,3119,236.2,47,50,121,9.2,48,50,28,2.1,41,28
30,2013,New Jersey,28327,319.6,16,45,7014,79.1,17,31,233,2.6,20,26
31,2013,New Mexico,12249,587.3,32,4,1918,92,33,27,78,3.7,32,20
32,2013,New York,95803,489.5,3,13,19919,101.8,4,21,1459,7.5,4,6
33,2013,North Carolina,48416,496.5,9,11,13666,140.1,9,9,404,4.1,12,18
34,2013,North Dakota,2932,419.1,48,26,492,70.3,43,35,12,1.7,44,30
35,2013,Ohio,53121,460.2,6,19,16619,144,5,7,436,3.8,10,19
36,2013,Oklahoma,18278,479.1,26,14,5303,139,21,10,118,3.1,29,24
37,2013,Oregon,14181,363.7,30,37,1729,44.3,34,42,267,6.8,18,8
38,2013,Pennsylvania,52056,407.8,7,30,13874,108.7,8,17,471,3.7,8,20
39,2013,Rhode Island,4312,410.6,43,29,454,43.2,44,43,45,4.3,38,16
40,2013,South Carolina,25594,541.8,20,7,7194,152.3,15,5,271,5.7,17,11
41,2013,South Dakota,3927,471.2,44,16,784,94.1,41,26,44,5.3,39,13
42,2013,Tennessee,30370,470.4,13,17,7376,114.2,14,15,214,3.3,22,23
43,2013,Texas,129861,498.3,2,10,33835,129.8,2,12,1475,5.7,3,11
44,2013,Utah,7535,263.9,36,48,951,33.3,40,44,74,2.6,33,26
45,2013,Vermont,1842,294.2,50,46,97,15.5,49,47,3,0.5,47,34
46,2013,Virginia,33316,407,11,31,6952,84.9,18,28,315,3.8,14,19
47,2013,Washington,24950,361.8,21,38,4369,63.3,24,36,284,4.1,16,18
48,2013,West Virginia,5139,277,42,47,1063,57.3,39,37,15,0.8,43,33
49,2013,Wisconsin,23572,411.6,22,28,4599,80.3,23,29,95,1.7,31,30
50,2013,Wyoming,2005,347.8,49,43,66,11.5,50,49,1,0.2,48,35
1,2014,Alabama,29010,600.2,15,4,7677,158.8,15,6,161,3.3,27,34
2,2014,Alaska,5789,787.5,39,1,1341,182.4,38,3,15,2,45,41
3,2014,Arizona,32397,488.9,12,14,7750,117,14,16,577,8.7,8,7
4,2014,Arkansas,15605,527.3,29,8,4539,153.4,24,7,121,4.1,31,27
5,2014,California,176308,459.9,1,22,45408,118.5,1,15,3835,10,1,4
6,2014,Colorado,21863,415,23,29,3170,60.2,30,38,186,3.5,25,31
7,2014,Connecticut,13382,372.1,31,40,2333,64.9,32,37,86,2.4,32,38
8,2014,Delaware,4473,483.2,42,15,1279,138.2,39,10,47,5.1,40,19
9,2014,Florida,84194,430.6,4,27,20944,107.1,3,21,1740,8.9,2,5
10,2014,Georgia,51945,519.9,7,9,13770,137.8,8,11,1234,12.3,5,3
11,2014,Hawaii,6419,457.2,38,23,1020,72.6,40,35,68,4.8,36,22
12,2014,Idaho,5442,337.6,40,44,443,27.5,45,46,12,0.7,47,49
13,2014,Illinois,66536,516.5,5,10,15970,124,6,13,863,6.7,6,12
14,2014,Indiana,28519,434,17,26,7289,110.9,17,18,168,2.6,26,37
15,2014,Iowa,11804,382,33,38,1641,53.1,35,42,72,2.3,34,39
16,2014,Kansas,11116,384.1,35,37,2568,88.7,31,31,60,2.1,37,40
17,2014,Kentucky,17664,401.9,28,33,4353,99,25,27,158,3.6,28,30
18,2014,Louisiana,28955,626,16,3,9002,194.6,11,1,575,12.4,9,2
19,2014,Maine,3530,265.8,47,49,237,17.8,47,48,16,1.2,44,46
20,2014,Maryland,27424,462.6,20,21,6108,103,22,24,449,7.6,12,8
21,2014,Massachusetts,21271,317.8,24,46,3817,57,28,40,301,4.5,17,24
22,2014,Michigan,44256,447.2,10,24,9688,97.9,10,28,421,4.3,13,25
23,2014,Minnesota,19907,367.3,26,41,4073,75.1,27,33,257,4.7,21,23
24,2014,Mississippi,19605,655.4,27,2,5625,188.1,23,2,189,6.3,24,13
25,2014,Missouri,27981,462.9,19,20,7387,122.2,16,14,352,5.8,15,17
26,2014,Montana,4193,413,44,31,434,42.8,46,45,8,0.8,48,48
27,2014,Nebraska,7499,401.3,37,34,1459,78.1,36,32,50,2.7,39,36
28,2014,Nevada,11841,424.4,32,28,3188,114.3,29,17,357,12.8,14,1
29,2014,New Hampshire,3586,271,46,48,226,17.1,48,49,36,2.7,42,35
30,2014,New Jersey,29904,336,14,45,6636,74.6,19,34,297,3.3,18,33
31,2014,New Mexico,11558,554.3,34,6,2246,107.7,34,20,126,6,30,16
32,2014,New York,98814,502.8,3,11,20758,105.6,4,22,1727,8.8,3,6
33,2014,North Carolina,47147,478.7,9,16,14415,146.4,7,8,733,7.4,7,9
34,2014,North Dakota,3451,477.1,48,17,694,95.9,43,29,13,1.8,46,42
35,2014,Ohio,54858,474.1,6,18,16237,140.3,5,9,568,4.9,10,21
36,2014,Oklahoma,20662,536.6,25,7,6137,159.4,21,5,151,3.9,29,28
37,2014,Oregon,15508,394.6,30,36,2320,59,33,39,272,6.9,20,10
38,2014,Pennsylvania,50536,395.6,8,35,12710,99.5,9,26,532,4.2,11,26
39,2014,Rhode Island,4349,413.6,43,30,590,56.1,44,41,71,6.8,35,11
40,2014,South Carolina,28087,588.2,18,5,8253,172.8,12,4,250,5.2,22,18
41,2014,South Dakota,4166,493.1,45,13,892,105.6,41,23,53,6.3,38,14
42,2014,Tennessee,30793,474,13,19,7199,110.8,18,19,237,3.6,23,29
43,2014,Texas,131219,496.1,2,12,35322,133.6,2,12,1636,6.2,4,15
44,2014,Utah,8223,283.5,36,47,1441,49.7,37,43,47,1.6,41,43
45,2014,Vermont,2237,357,49,42,84,13.4,50,50,5,0.8,49,47
46,2014,Virginia,36048,436.4,11,25,8250,99.9,13,25,289,3.5,19,32
47,2014,Washington,26577,381.2,21,39,6221,89.2,20,30,344,4.9,16,20
48,2014,West Virginia,4719,254.5,41,50,841,45.4,42,44,28,1.5,43,44
49,2014,Wisconsin,23154,403.2,22,32,4078,71,26,36,86,1.5,33,45
50,2014,Wyoming,1972,338.4,50,43,116,19.9,49,47,4,0.7,50,50
1,2015,Alabama,5660,543.6,21,9,7196,148.4,19,9,280,5.8,24,1
2,2015,Alaska,26359,768.3,39,1,1113,151.1,40,8,8,1.1,49,2
3,2015,Arizona,32387,481.1,12,18,8245,122.5,14,20,589,8.7,10,3
4,2015,Arkansas,16166,545,30,8,4780,161.1,25,6,134,4.5,30,4
5,2015,California,189170,487.5,1,17,54135,139.5,1,14,4908,12.6,1,5
6,2015,Colorado,23857,445.4,24,26,4387,81.9,27,36,245,4.6,26,6
7,2015,Connecticut,13126,364.9,31,41,2088,58.1,35,41,92,2.6,32,7
8,2015,Delaware,4605,492.2,42,15,1310,140,38,13,41,4.4,42,8
9,2015,Florida,90468,454.8,4,25,24125,121.3,4,21,2083,10.5,2,8
10,2015,Georgia,57639,570.8,7,6,15982,158.3,8,7,1413,14,5,9
11,2015,Hawaii,7074,498.3,38,14,1239,87.3,39,34,91,6.4,33,10
12,2015,Idaho,5631,344.5,40,45,472,28.9,46,48,57,3.5,39,11
13,2015,Illinois,69610,540.4,5,11,17130,133,6,15,1085,8.4,7,11
14,2015,Indiana,28886,437.9,17,27,7843,118.9,17,23,285,4.3,23,12
15,2015,Iowa,12085,388.9,34,40,2247,72.3,34,40,75,2.4,37,13
16,2015,Kansas,11464,394.8,35,38,2536,87.3,32,33,87,3,34,14
17,2015,Kentucky,17444,395.2,27,37,4678,106,26,25,145,3.3,29,14
18,2015,Louisiana,32325,695.2,13,2,10282,221.1,11,1,696,15,8,15
19,2015,Maine,3965,298.1,45,47,417,31.4,47,46,28,2.1,45,16
20,2015,Maryland,27450,459.3,20,23,6858,114.8,21,24,509,8.5,12,17
21,2015,Massachusetts,24100,357.3,23,42,3817,56.6,29,42,418,6.2,14,18
22,2015,Michigan,46486,469.1,10,21,10330,104.2,10,26,403,4.1,15,19
23,2015,Minnesota,21243,389.3,25,39,4097,75.1,28,39,246,4.5,25,20
24,2015,Mississippi,17371,580.2,28,5,5775,192.9,23,3,219,7.3,27,20
25,2015,Missouri,28948,477.4,16,20,8942,147.5,12,10,307,5.1,21,21
26,2015,Montana,4184,408.8,44,35,844,82.5,42,35,13,1.3,46,22
27,2015,Nebraska,7956,422.9,37,32,1703,90.5,36,32,45,2.4,41,22
28,2015,Nevada,12925,455.3,32,24,3630,127.9,30,18,335,11.8,19,23
29,2015,New Hampshire,3095,233.3,48,50,245,18.5,48,50,40,3,43,23
30,2015,New Jersey,31337,350.6,14,43,7228,80.9,18,38,372,4.2,16,24
31,2015,New Mexico,12632,605.7,33,4,2489,119.3,33,22,118,5.7,31,25
32,2015,New York,103615,524.7,3,12,25561,129.4,3,16,2006,10.2,3,26
33,2015,North Carolina,64376,647.4,6,3,19809,199.2,5,2,1196,12,6,27
34,2015,North Dakota,3159,427.2,47,29,684,92.5,44,30,11,1.5,47,28
35,2015,Ohio,56726,489.3,8,16,16564,142.9,7,12,560,4.8,11,29
36,2015,Oklahoma,21025,542.2,26,10,6542,168.7,22,5,209,5.4,28,30
37,2015,Oregon,16305,410.7,29,34,3232,81.4,31,37,345,8.7,18,31
38,2015,Pennsylvania,53460,418.1,9,33,12791,100,9,28,655,5.1,9,32
39,2015,Rhode Island,4575,433.6,43,28,580,55,45,43,77,7.3,36,33
40,2015,South Carolina,27538,569.9,19,7,8206,169.8,15,4,294,6.1,22,34
41,2015,South Dakota,3949,462.9,46,22,1048,122.8,41,19,39,4.6,44,35
42,2015,Tennessee,31272,477.5,15,19,8386,128,13,17,349,5.3,17,35
43,2015,Texas,141158,523.6,2,13,39717,147.3,2,11,1680,6.2,4,36
44,2015,Utah,8633,293.3,36,48,1562,53.1,37,44,65,2.2,38,37
45,2015,Vermont,1901,303.4,50,46,155,24.7,50,49,9,1.4,48,38
46,2015,Virginia,35349,424.5,11,30,8099,97.3,16,29,334,4,20,39
47,2015,Washington,28699,406.4,18,36,7171,101.6,20,27,445,6.3,13,39
48,2015,West Virginia,4958,268,41,49,769,41.6,43,45,52,2.8,40,40
49,2015,Wisconsin,24381,423.5,22,31,5260,91.4,24,31,79,1.4,35,41
50,2015,Wyoming,2037,348.7,49,44,175,30,49,47,5,0.9,50,42
