Line,WellC,PLATE,RIL,Treat,Lipid.per.Fly
315C,B4,DELTA 1,315,C,0.691162635
315C,B9,DELTA 1,315,C,1.354871863
319C,A2,DELTA 1,319,C,1.636635214
319C,A7,DELTA 1,319,C,1.981012644
319DR,C4,DELTA 1,319,DR,1.311042008
319DR,C9,DELTA 1,319,DR,1.242166523
319HS,G4,DELTA 1,319,HS,1.091892735
319HS,G9,DELTA 1,319,HS,1.210859484
322C,C2,IOTA 1,322,C,2.081195169
322C,C7,IOTA 1,322,C,1.84952308
322DR,C3,IOTA 1,322,DR,1.937182789
322DR,C8,IOTA 1,322,DR,2.125025023
322HS,C1,IOTA 1,322,HS,2.594630609
322HS,C6,IOTA 1,322,HS,1.580282544
324C,C5,IOTA 1,324,C,1.342349047
324C,C10,IOTA 1,324,C,2.125025023
324DR,C1,IOTA 2,324,DR,1.498884243
324DR,C6,IOTA 2,324,DR,1.229643707
324HS,C4,IOTA 1,324,HS,1.098154143
324HS,C9,IOTA 1,324,HS,1.173291037
332C,F5,IOTA 1,332,C,1.023017249
332C,F10,IOTA 1,332,C,1.96222842
332DR,F1,IOTA 2,332,DR,1.07936992
332DR,F6,IOTA 2,332,DR,1.780647594
332HS,F4,IOTA 1,332,HS,1.630373807
332HS,F9,IOTA 1,332,HS,1.173291037
335C,C3,IOTA 2,335,C,0.979187395
335C,C8,IOTA 2,335,C,2.294083034
335DR,C4,IOTA 2,335,DR,2.425572598
335DR,C9,IOTA 2,335,DR,1.711772108
338C,D1,IOTA 1,338,C,1.899614342
338C,D6,IOTA 1,338,C,1.548975505
338DR,D2,IOTA 1,338,DR,1.768124778
338DR,D7,IOTA 1,338,DR,1.999796867
339C,B3,DELTA 1,339,C,2.037365314
339C,B8,DELTA 1,339,C,2.394265559
345C,H4,IOTA 2,345,C,1.786909002
345C,H9,IOTA 2,345,C,0.916573317
345DR,H5,IOTA 2,345,DR,0.87900487
345DR,H10,IOTA 2,345,DR,1.624112399
345HS,H3,IOTA 2,345,HS,1.173291037
345HS,H8,IOTA 2,345,HS,1.210859484
347C,D4,IOTA 1,347,C,1.185813852
347C,D9,IOTA 1,347,C,2.632199056
347DR,D5,IOTA 1,347,DR,2.074933761
347DR,D10,IOTA 1,347,DR,1.930921381
347HS,D3,IOTA 1,347,HS,1.548975505
347HS,D8,IOTA 1,347,HS,1.035540065
348C,D2,IOTA 2,348,C,0.565934479
348C,D7,IOTA 2,348,C,1.692987885
348DR,D3,IOTA 2,348,DR,2.225207548
348DR,D8,IOTA 2,348,DR,1.968489828
351C,D5,IOTA 2,351,C,0.997971618
351C,D10,IOTA 2,351,C,1.455054388
351DR,E1,IOTA 1,351,DR,2.212684733
351DR,E6,IOTA 1,351,DR,0.941618948
351HS,D4,IOTA 2,351,HS,2.406788375
351HS,D9,IOTA 2,351,HS,0.872743462
354C,E2,LAMBDA2,354,C,1.13572259
354C,E7,LAMBDA2,354,C,1.185813852
354DR,F2,LAMBDA2,354,DR,1.329826232
354DR,F7,LAMBDA2,354,DR,1.204598076
354HS,D2,LAMBDA2,354,HS,1.799431817
354HS,D7,LAMBDA2,354,HS,1.974751236
355C,G4,LAMBDA2,355,C,0.753776714
355C,G9,LAMBDA2,355,C,1.098154143
355DR,G5,LAMBDA2,355,DR,0.828913607
355DR,G10,LAMBDA2,355,DR,0.778822345
358C,E1,LAMBDA2,358,C,0.947880356
358C,E6,LAMBDA2,358,C,1.285996377
358DR,F1,LAMBDA2,358,DR,1.267212154
358DR,F6,LAMBDA2,358,DR,1.035540065
358HS,D1,LAMBDA2,358,HS,1.229643707
358HS,D6,LAMBDA2,358,HS,1.073108512
361HS,A3,DELTA 1,361,HS,0.847697831
361HS,A8,DELTA 1,361,HS,1.417485941
362DR,C5,EPSILON 2,362,DR,0.691162635
362DR,C10,EPSILON 2,362,DR,1.642896622
362HS,A5,EPSILON 2,362,HS,0.822652199
362HS,A10,EPSILON 2,362,HS,1.029278657
366C,H5,DELTA 1,366,C,1.555236913
366C,H10,DELTA 1,366,C,2.652187168
366HS,A4,DELTA 1,366,HS,1.223382299
366HS,A9,DELTA 1,366,HS,1.235905115
369C,E2,EPSILON 2,369,C,1.64915803
369C,E7,EPSILON 2,369,C,1.110676959
369DR,E3,EPSILON 2,369,DR,1.824477449
369DR,E8,EPSILON 2,369,DR,1.173291037
369HS,D5,EPSILON 2,369,HS,1.436270165
369HS,D10,EPSILON 2,369,HS,1.805693225
370C,H3,BETA 2,370,C,1.667942253
370C,NA,BETA 2,370,C,1.167029629
370DR,F4,IOTA 2,370,DR,1.07936992
370DR,F9,IOTA 2,370,DR,1.354871863
370HS,G2,BETA 2,370,HS,1.542714097
370HS,NA,BETA 2,370,HS,0.753776714
374C,E3,IOTA 1,374,C,1.655419438
374C,E8,IOTA 1,374,C,1.423747349
374DR,E4,IOTA 1,374,DR,0.972925987
374DR,E9,IOTA 1,374,DR,0.947880356
374HS,E2,IOTA 1,374,HS,1.367394679
374HS,E7,IOTA 1,374,HS,1.066847104
376C,G2,IOTA 1,376,C,2.039099151
376C,G7,IOTA 1,376,C,0.941618948
376DR,B4,BETA 2,376,DR,1.430008757
376DR,NA,BETA 2,376,DR,1.548975505
376HS,F1,BETA 2,376,HS,0.910311909
376HS,NA,BETA 2,376,HS,0.910311909
378C,G4,BETA 2,378,C,1.292257785
378C,NA,BETA 2,378,C,1.317303416
378DR,D5,BETA 2,378,DR,1.085631327
378DR,NA,BETA 2,378,DR,0.885266278
378HS,H4,BETA 2,378,HS,2.056149538
378HS,NA,BETA 2,378,HS,1.023017249
37C,A1,LAMBDA1,37,C,1.167029629
37C,A6,LAMBDA1,37,C,1.354871863
37DR,A3,LAMBDA1,37,DR,1.073108512
37DR,A8,LAMBDA1,37,DR,1.292257785
37HS,A2,LAMBDA1,37,HS,1.242166523
37HS,A7,LAMBDA1,37,HS,1.19207526
380C,H1,ZETA 1,380,C,1.066847104
380C,H6,ZETA 1,380,C,1.19207526
380DR,H3,ZETA 1,380,DR,0.916573317
380DR,H8,ZETA 1,380,DR,0.910311909
380HS,H2,ZETA 1,380,HS,1.054324288
380HS,H7,ZETA 1,380,HS,1.574021136
381C,B3,BETA 2,381,C,1.160768221
381C,NA,BETA 2,381,C,1.624112399
381DR,H5,BETA 2,381,DR,1.417485941
381DR,NA,BETA 2,381,DR,1.761863371
381HS,A3,BETA 2,381,HS,1.724294924
381HS,NA,BETA 2,381,HS,1.285996377
383C,F2,BETA 2,383,C,1.016755841
383C,NA,BETA 2,383,C,0.979187395
383HS,G3,BETA 2,383,HS,2.012319683
383HS,NA,BETA 2,383,HS,1.893352935
384C,C5,BETA 2,384,C,1.64915803
384C,NA,BETA 2,384,C,1.235905115
384DR,E4,BETA 2,384,DR,1.555236913
384DR,NA,BETA 2,384,DR,1.473838611
385C,G1,BETA 2,385,C,1.373656087
385C,NA,BETA 2,385,C,0.947880356
385DR,E5,BETA 2,385,DR,1.542714097
385DR,NA,BETA 2,385,DR,1.198336668
385HS,G5,BETA 2,385,HS,1.530191282
385HS,NA,BETA 2,385,HS,1.035540065
389C,A5,BETA 2,389,C,0.760038121
389C,NA,BETA 2,389,C,0.904050501
389DR,F5,IOTA 2,389,DR,1.912137158
389DR,F10,IOTA 2,389,DR,1.7055107
389HS,C4,BETA 2,389,HS,0.847697831
389HS,NA,BETA 2,389,HS,1.07936992
390C,E4,IOTA 2,390,C,2.337912889
390C,E9,IOTA 2,390,C,1.843261672
390DR,E5,IOTA 2,390,DR,1.574021136
390DR,E10,IOTA 2,390,DR,1.386178902
390HS,E3,IOTA 2,390,HS,1.53645269
390HS,E8,IOTA 2,390,HS,1.254689338
391C,G4,IOTA 1,391,C,0.87900487
391C,G9,IOTA 1,391,C,0.866482054
391DR,E3,BETA 2,391,DR,0.747515306
391DR,NA,BETA 2,391,DR,1.273473562
391HS,E1,BETA 2,391,HS,0.872743462
391HS,NA,BETA 2,391,HS,1.060585696
392C,D3,BETA 2,392,C,1.53645269
392C,NA,BETA 2,392,C,1.398701718
392DR,D1,BETA 2,392,DR,1.110676959
392DR,NA,BETA 2,392,DR,0.979187395
392HS,A1,BETA 2,392,HS,1.254689338
392HS,NA,BETA 2,392,HS,1.39244031
396C,D5,DELTA 1,396,C,1.235905115
396C,D10,DELTA 1,396,C,0.922834724
396DR,F4,BETA 2,396,DR,1.179552444
396DR,NA,BETA 2,396,DR,1.430008757
396HS,C5,DELTA 1,396,HS,1.617850991
396HS,C10,DELTA 1,396,HS,1.96222842
397C,H1,BETA 2,397,C,1.004233026
397C,NA,BETA 2,397,C,1.041801473
397DR,E2,BETA 2,397,DR,1.129461182
397DR,NA,BETA 2,397,DR,1.104415551
397HS,F3,IOTA 2,397,HS,0.916573317
397HS,F8,IOTA 2,397,HS,1.098154143
401C,D2,BETA 2,401,C,0.835175015
401C,NA,BETA 2,401,C,0.64107137300000006
401DR,G1,IOTA 1,401,DR,1.179552444
401DR,G6,IOTA 1,401,DR,0.853959238
401HS,D4,BETA 2,401,HS,1.24842793
401HS,NA,BETA 2,401,HS,0.910311909
408C,A4,ZETA 1,408,C,0.866482054
408C,A9,ZETA 1,408,C,1.348610455
408DR,A1,ZETA 2,408,DR,1.311042008
408DR,A6,ZETA 2,408,DR,0.885266278
408HS,A5,ZETA 1,408,HS,1.041801473
408HS,A10,ZETA 1,408,HS,0.628548557
415C,B4,ZETA 1,415,C,0.659855596
415C,B9,ZETA 1,415,C,0.578457295
415DR,B1,ZETA 2,415,DR,0.390615061
415DR,B6,ZETA 2,415,DR,0.847697831
415HS,B5,ZETA 1,415,HS,0.553411664
415HS,B10,ZETA 1,415,HS,0.985448802
416HS,F3,DELTA 1,416,HS,1.486361427
416HS,F8,DELTA 1,416,HS,0.922834724
417C,E5,DELTA 1,417,C,0.472013362
417C,E10,DELTA 1,417,C,1.016755841
418C,A3,ZETA 2,418,C,1.348610455
418C,A8,ZETA 2,418,C,0.954141763
418DR,A5,ZETA 2,418,DR,1.104415551
418DR,A10,ZETA 2,418,DR,1.167029629
418HS,A4,ZETA 2,418,HS,0.697424043
418HS,A9,ZETA 2,418,HS,1.599066768
419HS,F1,DELTA 1,419,HS,0.428183508
419HS,F6,DELTA 1,419,HS,1.423747349
420DR,G4,IOTA 2,420,DR,1.33608764
420DR,G9,IOTA 2,420,DR,1.023017249
422HS,E3,DELTA 1,422,HS,0.616025742
422HS,E8,DELTA 1,422,HS,1.07936992
423C,F4,EPSILON 2,423,C,0.853959238
423C,F9,EPSILON 2,423,C,1.398701718
423DR,F5,EPSILON 2,423,DR,1.59280536
423DR,F10,EPSILON 2,423,DR,0.716208267
423HS,F3,EPSILON 2,423,HS,1.010494434
423HS,F8,EPSILON 2,423,HS,0.509581809
425C,B3,ZETA 2,425,C,0.703685451
425C,B8,ZETA 2,425,C,0.966664579
425DR,B5,ZETA 2,425,DR,1.129461182
425DR,B10,ZETA 2,425,DR,0.747515306
425HS,B4,ZETA 2,425,HS,0.954141763
425HS,B9,ZETA 2,425,HS,0.415660692
426C,C3,ZETA 2,426,C,0.572195887
426C,C8,ZETA 2,426,C,0.828913607
426DR,C5,ZETA 2,426,DR,1.091892735
426DR,C10,ZETA 2,426,DR,1.129461182
426HS,C4,ZETA 2,426,HS,0.979187395
426HS,C9,ZETA 2,426,HS,1.298519193
42C,H7,PLATE1,42,C,0.590980111
42C,NA,PLATE1,42,C,0.772560937
42DR,H8,PLATE1,42,DR,0.47827477
42DR,NA,PLATE1,42,DR,0.572195887
42HS,H6,PLATE1,42,HS,0.79134516
42HS,NA,PLATE1,42,HS,0.785083753
430C,D3,ZETA 2,430,C,0.853959238
430C,D8,ZETA 2,430,C,0.822652199
430DR,D5,ZETA 2,430,DR,1.116938366
430DR,D10,ZETA 2,430,DR,0.985448802
430HS,D4,ZETA 2,430,HS,1.279734969
430HS,D9,ZETA 2,430,HS,1.743079147
432C,E3,ZETA 2,432,C,1.523929874
432C,E8,ZETA 2,432,C,0.916573317
432DR,E5,ZETA 2,432,DR,0.79134516
432DR,E10,ZETA 2,432,DR,1.442531572
432HS,E4,ZETA 2,432,HS,1.198336668
432HS,E9,ZETA 2,432,HS,1.354871863
439C,F3,ZETA 2,439,C,0.99171021
439C,F8,ZETA 2,439,C,1.104415551
439DR,F5,ZETA 2,439,DR,1.7055107
439DR,F10,ZETA 2,439,DR,1.53645269
439HS,F4,ZETA 2,439,HS,1.868307303
439HS,F9,ZETA 2,439,HS,1.780647594
441C,G3,ZETA 2,441,C,1.379917494
441C,G8,ZETA 2,441,C,0.766299529
441DR,G5,ZETA 2,441,DR,0.553411664
441DR,G10,ZETA 2,441,DR,0.16520438
441HS,G4,ZETA 2,441,HS,0.822652199
441HS,G9,ZETA 2,441,HS,1.041801473
442DR,E2,DELTA 1,442,DR,0.760038121
442DR,E7,DELTA 1,442,DR,0.653594189
442HS,F4,DELTA 1,442,HS,1.116938366
442HS,F9,DELTA 1,442,HS,0.835175015
444C,H3,ZETA 2,444,C,1.692987885
444C,H8,ZETA 2,444,C,0.910311909
444DR,H5,ZETA 2,444,DR,2.131286431
444DR,H10,ZETA 2,444,DR,2.099979392
444HS,H4,ZETA 2,444,HS,0.472013362
444HS,H9,ZETA 2,444,HS,0.653594189
445C,G4,ZETA 1,445,C,0.584718703
445C,G9,ZETA 1,445,C,0.954141763
445DR,G1,ZETA 2,445,DR,0.540888848
445DR,G6,ZETA 2,445,DR,0.572195887
445HS,G5,ZETA 1,445,HS,1.148245405
445HS,G10,ZETA 1,445,HS,1.098154143
446C,H3,IOTA 1,446,C,1.880830119
446C,H8,IOTA 1,446,C,1.718033516
452C,H4,ZETA 1,452,C,0.966664579
452C,H9,ZETA 1,452,C,1.160768221
452DR,H1,ZETA 2,452,DR,1.367394679
452DR,H6,ZETA 2,452,DR,1.329826232
452HS,H5,ZETA 1,452,HS,0.396876469
452HS,H10,ZETA 1,452,HS,1.19207526
453C,H4,IOTA 1,453,C,1.59280536
453C,H9,IOTA 1,453,C,1.091892735
454DR,C1,ZETA 2,454,DR,0.565934479
454DR,C6,ZETA 2,454,DR,0.816390792
457C,D4,ZETA 1,457,C,0.947880356
457C,D9,ZETA 1,457,C,1.173291037
457DR,D1,ZETA 2,457,DR,1.298519193
457DR,D6,ZETA 2,457,DR,0.540888848
457HS,D5,ZETA 1,457,HS,0.628548557
457HS,D10,ZETA 1,457,HS,1.13572259
458HS,H5,IOTA 1,458,HS,0.446967731
458HS,H10,IOTA 1,458,HS,0.860220646
461C,H2,EPSILON 2,461,C,0.877078054
461C,H7,EPSILON 2,461,C,0.726804267
461HS,G5,EPSILON 2,461,HS,0.691162635
461HS,G10,EPSILON 2,461,HS,0.540888848
462C,C2,ZETA 2,462,C,0.378092245
462C,C7,ZETA 2,462,C,0.259125497
462DR,D2,ZETA 2,462,DR,0.328000983
462DR,D7,ZETA 2,462,DR,0.196511419
462HS,B2,ZETA 2,462,HS,1.224586187
462HS,B7,ZETA 2,462,HS,1.064920288
464C,E4,ZETA 1,464,C,0.708020043
464C,E9,ZETA 1,464,C,0.388688245
464DR,E1,ZETA 2,464,DR,0.792549049
464DR,E6,ZETA 2,464,DR,0.369904022
464HS,E5,ZETA 1,464,HS,0.830117496
464HS,E10,ZETA 1,464,HS,0.22155705
466C,G2,ZETA 2,466,C,0.127635933
466C,G7,ZETA 2,466,C,0.428183508
466DR,H2,ZETA 2,466,DR,0.152681564
466DR,H7,ZETA 2,466,DR,0.567138368
466HS,F2,ZETA 2,466,HS,0.754980602
466HS,F7,ZETA 2,466,HS,0.388688245
467C,F4,ZETA 1,467,C,0.341727687
467C,F9,ZETA 1,467,C,0.202772826
467DR,F1,ZETA 2,467,DR,0.359308022
467DR,F6,ZETA 2,467,DR,0.709946859
467HS,F5,ZETA 1,467,HS,0.384353653
467HS,F10,ZETA 1,467,HS,0.33426239
468DR,E4,DELTA 1,468,DR,0.215295642
468DR,E9,DELTA 1,468,DR,0.672378412
469C,G3,IOTA 2,469,C,0.528366032
469C,G8,IOTA 2,469,C,0.396876469
49C,H10,PLATE1,49,C,0.4219221
49C,NA,PLATE1,49,C,0.446967731
49DR,A1,THETA 1,49,DR,0.803867976
49DR,A6,THETA 1,49,DR,0.47827477
49HS,H9,PLATE1,49,HS,0.79134516
49HS,NA,PLATE1,49,HS,0.803867976
54C,G1,THETA 2,54,C,1.004233026
54C,G6,THETA 2,54,C,0.47827477
54HS,G5,THETA 1,54,HS,0.359308022
54HS,G10,THETA 1,54,HS,0.196511419
61C,G4,THETA 2,61,C,0.497058993
61C,G9,THETA 2,61,C,0.321739575
61DR,G5,THETA 2,61,DR,0.390615061
61DR,G10,THETA 2,61,DR,0.16520438
61HS,G3,THETA 2,61,HS,0.240341273
61HS,G8,THETA 2,61,HS,0.196511419
62C,D3,EPSILON 2,62,C,0.691162635
62C,D8,EPSILON 2,62,C,0.378092245
62DR,D4,EPSILON 2,62,DR,0.108851709
62DR,D9,EPSILON 2,62,DR,0.634809965
62HS,D2,EPSILON 2,62,HS,0.497058993
62HS,D7,EPSILON 2,62,HS,0.284171128
65C,B1,ZETA 1,65,C,0.346785206
65C,B6,ZETA 1,65,C,0.115113117
65DR,B3,ZETA 1,65,DR,0.108851709
65DR,B8,ZETA 1,65,DR,0.666117004
65HS,B2,ZETA 1,65,HS,0.302955351
65HS,B7,ZETA 1,65,HS,0.309216759
66C,A3,THETA 1,66,C,0.378092245
66C,A8,THETA 1,66,C,0.47827477
66DR,A4,THETA 1,66,DR,0.115113117
66DR,A9,THETA 1,66,DR,0.065021855
66HS,A2,THETA 1,66,HS,0.127635933
66HS,A7,THETA 1,66,HS,0.403137876
72C,A2,EPSILON 1,72,C,1.198336668
72C,A7,EPSILON 1,72,C,1.254689338
72DR,A3,EPSILON 1,72,DR,1.179552444
72DR,A8,EPSILON 1,72,DR,1.442531572
72HS,A1,EPSILON 1,72,HS,1.624112399
72HS,A6,EPSILON 1,72,HS,2.068672353
75C,H2,THETA 1,75,C,1.285996377
75C,H7,THETA 1,75,C,1.298519193
75DR,H3,THETA 1,75,DR,0.872743462
75DR,H8,THETA 1,75,DR,0.841436423
75HS,H1,THETA 1,75,HS,1.730556332
75HS,H6,THETA 1,75,HS,1.830738856
83C,B2,EPSILON 1,83,C,1.686726477
83C,B7,EPSILON 1,83,C,2.231468956
83DR,B3,EPSILON 1,83,DR,0.803867976
83DR,B8,EPSILON 1,83,DR,1.004233026
83HS,B1,EPSILON 1,83,HS,1.24842793
83HS,B6,EPSILON 1,83,HS,1.24842793
88C,C2,EPSILON 1,88,C,1.893352935
88C,C7,EPSILON 1,88,C,1.799431817
88DR,C3,EPSILON 1,88,DR,1.110676959
88DR,C8,EPSILON 1,88,DR,1.004233026
88HS,C1,EPSILON 1,88,HS,1.461315796
88HS,C6,EPSILON 1,88,HS,1.07936992
89C,B1,LAMBDA1,89,C,1.267212154
89C,B6,LAMBDA1,89,C,1.33608764
89DR,B3,LAMBDA1,89,DR,1.273473562
89DR,B8,LAMBDA1,89,DR,1.217120891
89HS,B2,LAMBDA1,89,HS,1.167029629
89HS,B7,LAMBDA1,89,HS,1.07936992
90C,A1,THETA 2,90,C,1.430008757
90C,A6,THETA 2,90,C,1.611589583
90DR,A2,THETA 2,90,DR,0.891527685
90DR,A7,THETA 2,90,DR,1.148245405
90HS,G12,THETA 1,90,HS,1.154506813
90HS,A10,THETA 1,90,HS,1.198336668
91C,A2,PLATE1,91,C,1.054324288
91C,NA,PLATE1,91,C,1.24842793
91DR,A3,PLATE1,91,DR,0.910311909
91DR,NA,PLATE1,91,DR,1.198336668
91HS,A1,PLATE1,91,HS,0.891527685
91HS,NA,PLATE1,91,HS,0.96040317100000006
92C,B5,LAMBDA2,92,C,1.304780601
92C,B10,LAMBDA2,92,C,1.498884243
92DR,C5,LAMBDA2,92,DR,0.703685451
92DR,C10,LAMBDA2,92,DR,0.847697831
92HS,A5,LAMBDA2,92,HS,1.091892735
92HS,A10,LAMBDA2,92,HS,1.404963126
94DR,G2,IOTA 2,94,DR,1.379917494
94DR,G7,IOTA 2,94,DR,0.897789093
95C,A4,THETA 2,95,C,1.304780601
95C,A9,THETA 2,95,C,0.941618948
95DR,A5,THETA 2,95,DR,1.13572259
95DR,A10,THETA 2,95,DR,1.33608764
95HS,A3,THETA 2,95,HS,1.041801473
95HS,A8,THETA 2,95,HS,1.054324288
96C,D2,EPSILON 1,96,C,1.129461182
96C,D7,EPSILON 1,96,C,1.048062881
96DR,D3,EPSILON 1,96,DR,1.887091527
96DR,D8,EPSILON 1,96,DR,1.949705605
96HS,D1,EPSILON 1,96,HS,1.605328175
96HS,D6,EPSILON 1,96,HS,1.605328175
98C,E2,EPSILON 1,98,C,0.653594189
98C,E7,EPSILON 1,98,C,1.010494434
98DR,E3,EPSILON 1,98,DR,0.810129384
98DR,E8,EPSILON 1,98,DR,1.323564824
98HS,E1,EPSILON 1,98,HS,0.4219221
98HS,E6,EPSILON 1,98,HS,0.666117004
99C,A5,PLATE1,99,C,1.492622835
99C,NA,PLATE1,99,C,1.661680846
99DR,A6,PLATE1,99,DR,0.459490547
99DR,NA,PLATE1,99,DR,0.396876469
99HS,A4,PLATE1,99,HS,0.722469675
99HS,NA,PLATE1,99,HS,0.997971618
9C,F9,PLATE1,9,C,1.279734969
9C,NA,PLATE1,9,C,1.423747349
9DR,F10,PLATE1,9,DR,1.411224533
9DR,NA,PLATE1,9,DR,1.436270165
9HS,F8,PLATE1,9,HS,0.897789093
9HS,NA,PLATE1,9,HS,1.215194076
